Title,URL,Advertiser,Location
DevOps Engineer (Apache Kafka),https://www.seek.com.au/job/36498310?type=standard,Paxus Australia Pty Ltd,Brisbane
DevOps Engineer (Apache Kafka),https://www.seek.com.au/job/36498305?type=standard,Paxus Australia Pty Ltd,Brisbane
DevOps Engineer (Apache Kafka),https://www.seek.com.au/job/36498303?type=standard,Paxus Australia Pty Ltd,Brisbane
DevOps Engineer (Apache Kafka),https://www.seek.com.au/job/36498296?type=standard,Paxus Australia Pty Ltd,Brisbane
"Integration Developer, Apache Camel",https://www.seek.com.au/job/36443426?type=standout,Attribute Testing,Sydney
"Integration Developer, Apache Camel",https://www.seek.com.au/job/36443425?type=standout,Attribute Consulting,Sydney
"DEVOPs - (Apache, JBoss, Linux Specialist)",https://www.seek.com.au/job/35797553?type=standard,Amadeus IT Pacific,Sydney
Junior Systems Administrator,https://www.seek.com.au/job/36498839?type=standout,Bespoke Services,Sydney
Senior IoT Engineer,https://www.seek.com.au/job/36498283?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
Technical Support Engineer,https://www.seek.com.au/job/36322063?type=standout,Civica International Pty Ltd,Sydney
Application Support - Metering,https://www.seek.com.au/job/36497906?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
Platform Engineer,https://www.seek.com.au/job/36497119?type=standard,Greythorn,Sydney
Senior Data Scientist,https://www.seek.com.au/job/36495772?type=standard,Talent Insights Group Pty Ltd,Sydney
PHP Developer,https://www.seek.com.au/job/36495321?type=standout,Liquid Digital Agency,Melbourne
Digital Network Manager,https://www.seek.com.au/job/36495016?type=standout,Adshel,Sydney
System Administrator,https://www.seek.com.au/job/36494969?type=standout,Digital Pacific,Sydney
IoT Lead Engineer,https://www.seek.com.au/job/36494884?type=standard,Clicks IT Recruitment,Melbourne
"Software Engineer/Data Scientist Hybrid role, Sydney CBD $130-160K",https://www.seek.com.au/job/36494452?type=standard,inDmand Career Solutions,Sydney
Java Developer,https://www.seek.com.au/job/36491877?type=standout,Hays Information Technology,Melbourne
Visual Designer (UI) & Project Coordinator - Two New Roles! Start Now!,https://www.seek.com.au/job/36491214?type=standout,Gestion,Sydney
DevOps Cloud Engineer,https://www.seek.com.au/job/36489280?type=standard,Ashdown People,Sydney
Senior .NET Developer,https://www.seek.com.au/job/36409643?type=standout,Readify,Brisbane
Senior DevOps Engineer,https://www.seek.com.au/job/36487654?type=standout,The Network,ACT
Senior Java Developer,https://www.seek.com.au/job/36487586?type=standard,Balance Recruitment,Sydney
Apache Nifi Consultant,https://www.seek.com.au/job/36319367?type=standard,Finite IT Recruitment Solutions,ACT
Senior Systems Engineer,https://www.seek.com.au/job/36300668?type=standard,Superloop,Sydney
Senior Software Engineer - PHP,https://www.seek.com.au/job/36451578?type=standout,FourQuarters Recruitment,Melbourne
Midrange Systems Administrator,https://www.seek.com.au/job/36485414?type=standard,Quality People,Perth
Midrange Systems Administrator,https://www.seek.com.au/job/36485412?type=standard,Quality People,Brisbane
Midrange Systems Administrator,https://www.seek.com.au/job/36485411?type=standard,Quality People,Melbourne
Midrange Systems Administrator,https://www.seek.com.au/job/36485409?type=standard,Quality People,Darwin
Solution Designer / Technical Lead,https://www.seek.com.au/job/36485017?type=standard,Talenza,Sydney
Senior Java Developer,https://www.seek.com.au/job/36484703?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Adelaide
PHP Developer,https://www.seek.com.au/job/36483982?type=standard,IPA,Sydney
Senior Java Developer,https://www.seek.com.au/job/36479790?type=standard,Object Consulting P/L,Melbourne
IoT Engineer / Technical Lead,https://www.seek.com.au/job/36479145?type=standard,GMT People,Melbourne
Lead Software Developer,https://www.seek.com.au/job/36478363?type=standard,FourQuarters Recruitment,Melbourne
Data Engineer - Canberra - RPA / Advanced Engineering.,https://www.seek.com.au/job/36477709?type=standout,Alloc8,ACT
Senior Manager - eCommerce Development,https://www.seek.com.au/job/36477612?type=standard,Salmat Ltd,Sydney
Metering Application Support,https://www.seek.com.au/job/36477403?type=standard,Randstad - Technologies,Melbourne
Systems Manager,https://www.seek.com.au/job/36473490?type=standard,MiClub Services,Perth
Data Scientist,https://www.seek.com.au/job/36473028?type=standout,Motion Recruitment,Sydney
AWS Cloud DevOps/Deployment Egineer,https://www.seek.com.au/job/35994650?type=standout,Amazon Web Services,Sydney
Maintenance Planner E&I,https://www.seek.com.au/job/36472019?type=standard,Yara Pilbara Fertilisers Pty Ltd,"Port Hedland, Karratha & Pilbara"
Database Administrator - Cassandra Experience Required,https://www.seek.com.au/job/36471765?type=standout,ModusSecurity,Melbourne
Big Data Engineer,https://www.seek.com.au/job/36468194?type=standard,Robert Walters,Sydney
IT Specialist,https://www.seek.com.au/job/36466420?type=standout,Ignite,Sydney
Junior Java developer (COG - 938720),https://www.seek.com.au/job/36465895?type=standout,Macquarie Group Limited,Sydney
Senior System Support Analyst - Windows / Exchange / VMware,https://www.seek.com.au/job/36465309?type=standout,en world Australia,Sydney
Java Developer (COG - 940130),https://www.seek.com.au/job/36463701?type=standout,Macquarie Group Limited,Sydney
PHP/WordPress Developer - Exciting new projects!,https://www.seek.com.au/job/36462531?type=standout,2XM Technology Pty Ltd,Sydney
Senior Application Support Analyst,https://www.seek.com.au/job/36462504?type=standard,TEKsystems,Brisbane
AWS Solution Design Lead,https://www.seek.com.au/job/36461854?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney
Web Developer,https://www.seek.com.au/job/36460829?type=standard,become,Melbourne
Data Engineer - Sydney - Opensource / Advanced Engineering.,https://www.seek.com.au/job/36458465?type=standout,Alloc8,Sydney
Splunk Analysts and Specialists,https://www.seek.com.au/job/36458218?type=standout,Accenture,Melbourne
Data / Analytics Engineer - Machine Learning - Junior/Mid Level,https://www.seek.com.au/job/36458071?type=standout,Alloc8,Sydney
Technical System Engineer,https://www.seek.com.au/job/36457789?type=standout,Servian Pty Ltd,Melbourne
J2EE Integration Developer,https://www.seek.com.au/job/36457194?type=standout,Global Consulting Services Pty Ltd,Sydney
WordPress Developer,https://www.seek.com.au/job/36455467?type=standard,Greythorn,Melbourne
Systems Engineer,https://www.seek.com.au/job/36453103?type=standout,Webres Solutions,Melbourne
Test Architect - Python,https://www.seek.com.au/job/36450912?type=standout,Peoplebank Australia NSW,Melbourne
"Software Developer, Java, C#",https://www.seek.com.au/job/36450875?type=standard,Redblue recruitment,Sydney
"Python Automation Architect/ Python Automation Tester-Melbourne, Australia.",https://www.seek.com.au/job/36450812?type=standard,Silverlink Technologies Pty Ltd,Melbourne
Drupal Sysops - part time,https://www.seek.com.au/job/36450440?type=standard,GMT People,ACT
System Administrator - Melbourne,https://www.seek.com.au/job/36450343?type=standout,Digital Pacific,Melbourne
Big Data Engineer,https://www.seek.com.au/job/36446806?type=standout,SALT SEARCH PTY LTD,Melbourne
Java Developer - 6 month contract- Top-Tiered Investment Bank,https://www.seek.com.au/job/36446454?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney
Java Team Lead,https://www.seek.com.au/job/36446166?type=standout,Fuji Xerox Australia Pty Ltd,Sydney
C# developer,https://www.seek.com.au/job/36445491?type=standout,Ambition Technology,Sydney
.Net Developer,https://www.seek.com.au/job/36445125?type=standard,HCM Australia,Sydney
"Hadoop Application Developer, global eCOM leader - Relo Bangkok",https://www.seek.com.au/job/36443151?type=standard,Big Wednesday,Melbourne
Software Developer - Windows/Linux,https://www.seek.com.au/job/36443034?type=standard,AVI,Perth
Distributed Systems Engineer,https://www.seek.com.au/job/36442957?type=standout,Power Ledger,Perth
Blockchain Developer,https://www.seek.com.au/job/36442954?type=standout,Power Ledger,Perth
Senior Java Developer,https://www.seek.com.au/job/36442756?type=standard,Balance Recruitment,Sydney
Senior Developer,https://www.seek.com.au/job/36442750?type=standout,Trapeze Group,Brisbane
Linux Engineer,https://www.seek.com.au/job/36441976?type=standard,Balance Recruitment,Sydney
Data Scientist,https://www.seek.com.au/job/36440894?type=standout,VGW,Sydney
Senior Integration Engineer - Sydney - Contract,https://www.seek.com.au/job/36364343?type=standard,Real Time Australia P/L,Sydney
Software Engineer - Scala,https://www.seek.com.au/job/36437379?type=standout,Q1 Professional Services,Sydney
EIM Domain Architect (Big Data),https://www.seek.com.au/job/36435073?type=standard,DX Solutions Pty Ltd,Sydney
IT System Administrator,https://www.seek.com.au/job/36434868?type=standard,Corescan Pty Ltd,Perth
Senior Java Developer & Snr Java Support Engineer,https://www.seek.com.au/job/36434011?type=standard,Talent Finders,Sydney
Application Developer- ServiceNow Developer,https://www.seek.com.au/job/36432898?type=standout,First People Recruitment Solutions Pty Ltd,ACT
DevOps Engineer,https://www.seek.com.au/job/36432325?type=standard,Progressive,Melbourne
Senior .NET Developer,https://www.seek.com.au/job/36201368?type=standout,Readify,Brisbane
Senior ESD Engineer,https://www.seek.com.au/job/36428843?type=standout,Now Careers Pty Ltd,Sydney
PHP Developer,https://www.seek.com.au/job/36424735?type=standout,Horizon Consulting,Sydney
Software Developer - Web Development,https://www.seek.com.au/job/36228716?type=standard,GQR Global Markets,Sydney
Java Developer,https://www.seek.com.au/job/36422663?type=standard,Data#3 People Solutions,Adelaide
DevOps Cloud Engineer,https://www.seek.com.au/job/36419976?type=standout,Attribute Consulting,Sydney
Environment Manager (Release Management),https://www.seek.com.au/job/36419677?type=standard,Ashdown People,Sydney
Experienced Java Developer,https://www.seek.com.au/job/36416023?type=standard,DXC Technology Australia Pty LTD,Adelaide
Senior Integration Developer,https://www.seek.com.au/job/36414746?type=standout,Peoplebank Australia NSW,Sydney
Software Developer,https://www.seek.com.au/job/36414889?type=standout,Working Mouse Pty Ltd,Brisbane
Back End Developer,https://www.seek.com.au/job/36343088?type=standard,Inteliment,Sydney
PHP Developer - Magento,https://www.seek.com.au/job/36410856?type=standout,2XM Technology Pty Ltd,Sydney
"Software Developer, Java, C#",https://www.seek.com.au/job/36410729?type=standard,Redblue recruitment,Sydney
Front End Developer - Sydney,https://www.seek.com.au/job/36410183?type=standard,Ariston Partners Australia Pty Ltd,Sydney
PHP with Front End,https://www.seek.com.au/job/36409414?type=standard,S2M,Sydney
Senior Full Stack Java Developer,https://www.seek.com.au/job/36406066?type=standout,News Corp Australia,Sydney
Python / Spark Developer - Big Data / Machine Learning - 6 Month Contract,https://www.seek.com.au/job/36405500?type=standout,Limelight People,Sydney
Data Scientist,https://www.seek.com.au/job/36403875?type=standout,Hays Information Technology,Gold Coast
Support Engineer - Front End Services,https://www.seek.com.au/job/35958500?type=standard,Amadeus IT Pacific,Sydney
Full-stack Java developer,https://www.seek.com.au/job/36402368?type=standout,Cognizant Technology Solutions Australia Pty Ltd,Perth
Managed Services Consultant - in a DevOps model,https://www.seek.com.au/job/36267614?type=standout,Servian Pty Ltd,Sydney
Mid level Java Developer | AgriTech,https://www.seek.com.au/job/36130526?type=standard,Maia Technology,Sydney
