Title,URL,Advertiser,Location
"Lead Developer - Contract | Node.js, Restify, React, CI/CD | $900-1100pd",https://www.seek.com.au/job/36493838?type=standard,Affix Group,Melbourne
Senior Conjure Developer,https://www.seek.com.au/job/36421883?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney
Functional Programming - Senior Software Developer,https://www.seek.com.au/job/36479211?type=standout,Anton Murray Consulting,Sydney
Fin-Tech Software Engineer,https://www.seek.com.au/job/36477883?type=standard,Mars Recruitment,Sydney
Technical Lead - Hands on | Predictive Analytics & AI Technology | $140k-$160k,https://www.seek.com.au/job/36456263?type=standard,Affix Group,Melbourne
Full Stack Engineer / Web Developer,https://www.seek.com.au/job/36411618?type=standout,Kogan.com,Melbourne
Software Engineer | Machine Learning - Python / Scala / Clojure,https://www.seek.com.au/job/36278978?type=standard,Opus Recruitment Solutions,Sydney
Full Stack Engineer/Lead - Relocate to Bali!,https://www.seek.com.au/job/36378058?type=standout,GO-JEK,Melbourne
Full Stack Engineer/Lead - Relocate to Bali!,https://www.seek.com.au/job/36378020?type=standout,GO-JEK,Sydney
Senior Full Stack Developer,https://www.seek.com.au/job/36299027?type=standard,CITI Recruitment,Sydney
System Engineer- Python,https://www.seek.com.au/job/36288623?type=standard,HCL Australia Services Pty Ltd,Sydney
Functional Programming - Senior Software Developer,https://www.seek.com.au/job/36282402?type=standout,Anton Murray Consulting,Sydney
