Title,URL,Advertiser,Location
Mainframe Analyst Programmer - Cobol,https://www.seek.com.au/job/36317439?type=standard,GPC Asia Pacific,Melbourne
Vision PLUS Technical lead,https://www.seek.com.au/job/36472408?type=standout,Cognizant Technology Solutions Australia Pty Ltd,Sydney
Mainframe Developers,https://www.seek.com.au/job/36464395?type=standout,Dialog IT,ACT
Senior Developer,https://www.seek.com.au/job/36442750?type=standout,Trapeze Group,Brisbane
3GL Software Developer,https://www.seek.com.au/job/36411292?type=standout,Greater Bank Limited,"Newcastle, Maitland & Hunter"
Mainframe Cobol Programmers,https://www.seek.com.au/job/36282844?type=standard,Chandler Macleod Group,ACT
"Mainframe PL/1, HBOS CBS Developer",https://www.seek.com.au/job/36400765?type=standout,Cognizant Technology Solutions Australia Pty Ltd,Perth
Technical Analyst,https://www.seek.com.au/job/36395249?type=standard,First Data Corporation,Melbourne
Developer,https://www.seek.com.au/job/36394833?type=standard,IOOF Holdings Ltd,Melbourne
Senior Analyst Programmer,https://www.seek.com.au/job/36327744?type=standout,Peoplebank Australia NSW,Sydney
CHESS Technical Support Analyst,https://www.seek.com.au/job/36363569?type=standard,Xpert Group,Sydney
System Support Analyst - Trade Support,https://www.seek.com.au/job/36354056?type=standout,Perigon Group Pty Limited,Sydney
ObjectStar Developer,https://www.seek.com.au/job/36134257?type=standout,Dialog IT,ACT
ICT Software Engineer - PL/SQL,https://www.seek.com.au/job/36282185?type=standard,HCL Australia Services Pty Ltd,Sydney
"Mid Level Analyst Engineer - C++, VB.Net, Oracle, UNIX",https://www.seek.com.au/job/36318229?type=standard,Xpand Group Pty Ltd,Sydney
Analyst Programmer,https://www.seek.com.au/job/36314189?type=standard,Woolworths Group,Sydney
ICT Project Manager - SDLC,https://www.seek.com.au/job/36284237?type=standard,HCL Australia Services Pty Ltd,Perth
ICT Project Manager - SDLC,https://www.seek.com.au/job/36283987?type=standard,HCL Australia Services Pty Ltd,Sydney
