Title,URL,Advertiser,Location
Jira & Confluence Administrator,https://www.seek.com.au/job/36498203?type=promoted,Area9 IT Solutions,Darwin
Jira & Confluence Administrator,https://www.seek.com.au/job/36498203?type=standout,Area9 IT Solutions,Darwin
JIRA / Confluence Systems Administrator - 12 month initial contract,https://www.seek.com.au/job/36480741?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,ACT
Systems Administrator - JIRA/Confluence,https://www.seek.com.au/job/36397259?type=standout,Ignite,ACT
Product Manager,https://www.seek.com.au/job/36498965?type=standard,RedBalloon,Sydney
Technical Support Engineer,https://www.seek.com.au/job/36322063?type=standout,Civica International Pty Ltd,Sydney
Digital Business Analyst,https://www.seek.com.au/job/36497463?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
Senior Business Analyst,https://www.seek.com.au/job/36497024?type=standout,Michael Page Technology,Melbourne
Senior Business Analyst,https://www.seek.com.au/job/36496499?type=standard,NSW Department of Industry,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36496497?type=standard,NSW Department of Industry,Sydney
Product Support,https://www.seek.com.au/job/36317271?type=standout,CompliSpace Pty Ltd,Melbourne
Automation Test Analyst,https://www.seek.com.au/job/36496070?type=standout,Rowben Consulting - Integrity | Quality | Commitment,Melbourne
Java Developer,https://www.seek.com.au/job/36495929?type=standard,Finite IT Recruitment Solutions,Brisbane
Java Architect,https://www.seek.com.au/job/36495400?type=standard,ITbility,Sydney
Project Support Analyst,https://www.seek.com.au/job/36495391?type=standout,The Recruitment Company,Sydney
"Graduate Role - Assistant Governance, Risk and Compliance Consultant",https://www.seek.com.au/job/36495366?type=standout,CompliSpace Pty Ltd,Melbourne
Java Developer,https://www.seek.com.au/job/36491877?type=standout,Hays Information Technology,Melbourne
Knowledge Content Publisher,https://www.seek.com.au/job/36491740?type=standout,Hays Marketing,Sydney
PLATFORM OPERATIONS ADMINISTRATOR,https://www.seek.com.au/job/36491667?type=standout,Randstad - Business Support,Sydney
Business Systems Analyst,https://www.seek.com.au/job/36490828?type=standard,Protech Group,Brisbane
IT Customer Support Officer,https://www.seek.com.au/job/36489815?type=standard,CIC Technology,ACT
IT Customer Support Officer,https://www.seek.com.au/job/36489747?type=standard,CIC Technology,Sydney
DevOps Cloud Engineer,https://www.seek.com.au/job/36489280?type=standard,Ashdown People,Sydney
SAS Developer,https://www.seek.com.au/job/36484967?type=standout,IPA,Sydney
Digital Content Producer/Officer,https://www.seek.com.au/job/36483787?type=standard,Robert Walters,Sydney
Data Scientist,https://www.seek.com.au/job/36483916?type=standout,University of New South Wales,Sydney
Associate Business Analyst,https://www.seek.com.au/job/36483852?type=standout,The Hollard Insurance Company,Melbourne
Technical Lead - PHP,https://www.seek.com.au/job/36483293?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney
SEO Manager,https://www.seek.com.au/job/36483171?type=standout,4mation Technologies,Sydney
eCommerce Business Analyst,https://www.seek.com.au/job/36483111?type=standout,Sharp & Carter Digital and Technology,Melbourne
Salesforce Commerce Cloud Web Developer,https://www.seek.com.au/job/36482907?type=standard,MECCA Brands Pty Ltd,Melbourne
Automation Test Engineer,https://www.seek.com.au/job/36482126?type=standout,InStock,Sydney
ICT Systems Test Engineer  - IT Professional Services Company - CBD,https://www.seek.com.au/job/36481932?type=standard,TL Consulting Group,Sydney
Data Tester,https://www.seek.com.au/job/36480426?type=standard,Revolution IT,Sydney
UX Designer,https://www.seek.com.au/job/36479713?type=standout,Hays Information Technology,Melbourne
Full Stack .Net Software Engineers,https://www.seek.com.au/job/36479233?type=standout,JobAdder Pty Ltd,Sydney
Senior Web Developer,https://www.seek.com.au/job/36478730?type=standout,Australian Institute of Business,Adelaide
Performance Tester/Lead | 6-Month Contract,https://www.seek.com.au/job/36477943?type=standout,Agile Talent,Sydney
.Net Developer with Java exp.(both mandatory) - Good rate (immediate start),https://www.seek.com.au/job/35973907?type=standard,Advance Delivery Consulting,Sydney
Website QA,https://www.seek.com.au/job/36477559?type=standard,Viiew Pty Ltd,Sydney
Systems Engineer,https://www.seek.com.au/job/36476881?type=standout,CrownBet Pty Limited,Melbourne
Digital Performance & Analytics Specialist,https://www.seek.com.au/job/36474039?type=standout,Foxtel Management Pty Limited,Sydney
Digital Performance & Analytics Specialist,https://www.seek.com.au/job/36474036?type=standout,Foxtel Management Pty Limited,Sydney
Digital Specialist,https://www.seek.com.au/job/36473842?type=standard,Beyond Bank,Adelaide
.Net Developer - Permanent,https://www.seek.com.au/job/36472086?type=standard,Davidson Technology,Brisbane
Scrum Master x 2,https://www.seek.com.au/job/36471693?type=standout,Modis,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36470338?type=standard,Finite Banking & Finance,Sydney
QA Automation Tester,https://www.seek.com.au/job/36470091?type=standard,ecareer employment services,Melbourne
Technical System Analyst - (Mid Level),https://www.seek.com.au/job/36469634?type=standout,Origin,Melbourne
Senior Developer (COG-939499),https://www.seek.com.au/job/36468907?type=standout,Macquarie Group Limited,Sydney
Applications Support Analyst,https://www.seek.com.au/job/36468473?type=standout,Leica Biosystems Pty Ltd,Melbourne
Process Improvement Manager,https://www.seek.com.au/job/36467566?type=standard,Paxus Australia Pty Ltd,Melbourne
Business Analyst - eBanking (BFS - 939747),https://www.seek.com.au/job/36467385?type=standout,Macquarie Group Limited,Sydney
Senior iOS Developmer,https://www.seek.com.au/job/36467350?type=standard,Bountye Pty Ltd,Sydney
Junior Technical Business Analyst (COG - 939690),https://www.seek.com.au/job/36467058?type=standout,Macquarie Group Limited,Sydney
