Title,URL,Advertiser,Location
Junior Data Scientist / Data Analyst,https://www.seek.com.au/job/36480281?type=promoted,RDA Research,Sydney
Quant Analyst with Top Fund Manager,https://www.seek.com.au/job/36321513?type=promoted,Coolabah Capital Investments Pty Ltd,Sydney
Senior Data Science Engineer,https://www.seek.com.au/job/36496833?type=standard,Bluefin Resources Pty Limited,Melbourne
Data Science Consultant,https://www.seek.com.au/job/36494175?type=standard,HCM Australia,Melbourne
Data Science Consultant,https://www.seek.com.au/job/36494176?type=standard,HCM Australia,Sydney
Systems Engineer - Data Science Organisation,https://www.seek.com.au/job/36492558?type=standard,Ashdown People,Sydney
Strategy Consultant - Analytics & Data Science,https://www.seek.com.au/job/36486368?type=standout,Talent Insights Group Pty Ltd,Sydney
Data Science Senior Executive,https://www.seek.com.au/job/36482830?type=standard,The Nielsen Company (Australia) Pty Ltd,Sydney
Java Dev / Quality / Test - Data Science,https://www.seek.com.au/job/36436529?type=standard,Ashdown People,Sydney
Lecturer/Senior Lecturer (IT Data Science),https://www.seek.com.au/job/36433575?type=standard,Monash University,Melbourne
Lecturer/Senior Lecturer (IT Data Science),https://www.seek.com.au/job/36420007?type=standard,Monash University,Melbourne
Data Science / Analytics Lead,https://www.seek.com.au/job/36409500?type=standout,Alcoa,Perth
Head of Data Science  - Bangkok or Singapore,https://www.seek.com.au/job/36402751?type=standard,Big Wednesday,Adelaide
"Data Science Manager, Director Level, Relocate to Bangkok",https://www.seek.com.au/job/36402686?type=standard,Big Wednesday,Sydney
Junior Business Analyst - MarTech & Data Science,https://www.seek.com.au/job/36394320?type=standout,Correlate Resources,Sydney
Data Science & Digital Marketing Consultant,https://www.seek.com.au/job/36383700?type=standout,Dentsu Aegis Network,Sydney
Data Science Consultant,https://www.seek.com.au/job/36383032?type=standard,Humanised Group,Brisbane
Postdoctoral Fellowship in Data and Network Science,https://www.seek.com.au/job/36487198?type=standout,CSIRO,Brisbane
Postdoctoral Fellowship in Data and Network Science,https://www.seek.com.au/job/36487199?type=standout,CSIRO,Brisbane
Data Science,https://www.seek.com.au/job/36372738?type=standard,Exclaim IT,Brisbane
"Data Warehousing, Data Science, Business Intelligence or Big Data specialist",https://www.seek.com.au/job/36368191?type=standard,Melbourne,Information & Communication Technology
Data Science (Lead/Senior),https://www.seek.com.au/job/36354366?type=standard,SustainDigital,Sydney
Lead Data Analyst,https://www.seek.com.au/job/36284177?type=promoted,Ebex,Melbourne
Junior Data Scientist / Data Analyst,https://www.seek.com.au/job/36480281?type=promoted,RDA Research,Sydney
Senior Data Engineer (Data Science) - FinTech,https://www.seek.com.au/job/36317874?type=standout,Correlate Resources,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36496497?type=standard,NSW Department of Industry,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36496499?type=standard,NSW Department of Industry,Sydney
Senior Data Scientist,https://www.seek.com.au/job/36495772?type=standard,Talent Insights Group Pty Ltd,Sydney
St John's Catholic College - Multiple Roles,https://www.seek.com.au/job/36487006?type=standard,Darwin,Education & Training
Junior Data Scientist / Data Analyst,https://www.seek.com.au/job/36480281?type=standout,RDA Research,Sydney
RESEARCH FELLOW/SENIOR RESEARCH FELLOW IN DATA SCIENCE IN DISABILITY,https://www.seek.com.au/job/36287998?type=standard,The University Of Melbourne,Melbourne
AWS/Linux - System Support Engineer,https://www.seek.com.au/job/36471224?type=standard,Aurec,Sydney
Data Scientist,https://www.seek.com.au/job/36461456?type=standard,Embedded Search & Selection,Brisbane
Senior Manager - Analytics,https://www.seek.com.au/job/36485290?type=standout,Oceans Group,Sydney
Senior Data Scientist – Infrastructure & Projects Group,https://www.seek.com.au/job/36449408?type=standard,KPMG Australia,Melbourne
Senior Data Scientist – Infrastructure & Projects Group,https://www.seek.com.au/job/36449407?type=standard,KPMG Australia,Melbourne
IT Resourcer / Account Manager - Business Intelligence,https://www.seek.com.au/job/36444831?type=standard,FIRESOFT Consulting,Sydney
Principal Data Science Consultant (Urgent),https://www.seek.com.au/job/36273852?type=standard,T+O+M Executive,Sydney
Docker DevOps Engineer,https://www.seek.com.au/job/36437917?type=standard,Northbridge Recruitment,Sydney
Salesforce Engineer,https://www.seek.com.au/job/36480828?type=standout,Onset Group,Sydney
Data Scientist,https://www.seek.com.au/job/36436978?type=standout,QBE,Sydney
Graduate Data Scientist,https://www.seek.com.au/job/36433285?type=standard,Project Resource Partners,Melbourne
Urgent - Big Data Engineer - 4 Month Contract - ETL Focus with AWS Glue/Talend,https://www.seek.com.au/job/36446868?type=standard,Talent Insights Group Pty Ltd,Sydney
