Title,URL,Advertiser,Location
Finance Business Partner - Data visualisation,https://www.seek.com.au/job/36484878?type=standout,Randstad - Accounting,Sydney
"Lead Analyst, Data Visualisation (Tableau Insights) - FinTech",https://www.seek.com.au/job/36378091?type=standout,Correlate Resources,Sydney
"Lead Analyst, Data Visualisation (Tableau Insights) - FinTech",https://www.seek.com.au/job/36365646?type=standout,Correlate Resources,Sydney
QlikView Designer / Developer | Join an Innovative Data Analytics Team,https://www.seek.com.au/job/36489277?type=standard,Data Talent Pty Ltd,Sydney
Data Analyst / Visualisation Expert,https://www.seek.com.au/job/36378297?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs"
Senior Reporting Manager (COG - 385163),https://www.seek.com.au/job/36467598?type=standout,Macquarie Group Limited,Sydney
Senior BI Developer,https://www.seek.com.au/job/36452517?type=standard,Attract People,Brisbane
Regional Business Development Manager - Leapfrog 3D modelling software,https://www.seek.com.au/job/36438311?type=standout,Seequent,Brisbane
Azure Data and Analytics Developer,https://www.seek.com.au/job/36422658?type=standard,LINX Cargo Care Pty Ltd,Sydney
Senior Data Scientist,https://www.seek.com.au/job/36495772?type=standard,Talent Insights Group Pty Ltd,Sydney
"Software Engineer/Data Scientist Hybrid role, Sydney CBD $130-160K",https://www.seek.com.au/job/36494452?type=standard,inDmand Career Solutions,Sydney
"MS SQL&BI Developers x5(stored procedures, packages, triggers etc)$80-120k Base",https://www.seek.com.au/job/36494157?type=standard,inDmand Career Solutions,Sydney
"Team Leader, Visualisation Services",https://www.seek.com.au/job/36493278?type=standout,"Department of Planning, Transport & Infrastructure",Adelaide
Senior Data Design and Analysis Officer,https://www.seek.com.au/job/36492327?type=standard,Lotterywest,Perth
Senior Data Engineer,https://www.seek.com.au/job/36491550?type=standard,Preacta Recruitment,Sydney
Security Architect x 2,https://www.seek.com.au/job/36487787?type=standout,EA People,Melbourne
Integration Architect x 2,https://www.seek.com.au/job/36487786?type=standout,EA People,Melbourne
Infrastructure Architect x 4,https://www.seek.com.au/job/36487785?type=standout,EA People,Melbourne
GIS Graduate,https://www.seek.com.au/job/36486883?type=standard,Aurecon,Sydney
GIS Graduate,https://www.seek.com.au/job/36486884?type=standard,Aurecon,Sydney
Insights Analyst,https://www.seek.com.au/job/36484982?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Perth
BI Developer,https://www.seek.com.au/job/36484805?type=standout,Precision Sourcing,Sydney
Digital Analytics Coordinator,https://www.seek.com.au/job/36484768?type=standard,Interpro - QLD,Brisbane
BI Analyst Developer LEAD,https://www.seek.com.au/job/36484127?type=standard,Opus Recruitment Solutions,Sydney
"Manager, BI Analytics",https://www.seek.com.au/job/36480017?type=standout,Mirvac,Sydney
Data Analyst,https://www.seek.com.au/job/36479756?type=standard,Lendlease,Sydney
DevOps Engineer (COG-939899),https://www.seek.com.au/job/36480401?type=standout,Macquarie Group Limited,Sydney
Survey Officer,https://www.seek.com.au/job/36476658?type=standout,RMIT University,Melbourne
Digital Specialist- Marketing Technology,https://www.seek.com.au/job/36476112?type=standout,Compare the Market,Brisbane
Data Analyst,https://www.seek.com.au/job/36475979?type=standard,Davidson Technology,Brisbane
