Title,URL,Advertiser,Location,Listing Date,Short Description
SENIOR PYTHON/ DJANGO DEVELOPER,https://www.seek.com.au/jobs/job/36390177?type=standard,Talentpool Recruitment,Sydney,20d ago,This is an amazing opportunity to join a well-funded Sydney-based Start-up that is working with the latest emerging technologies in the market!
Software Engineer,https://www.seek.com.au/jobs/job/36535867?type=standard,Greythorn,Sydney,2d ago,Software Engineer - Scala + Big Data
Lead Developer,https://www.seek.com.au/jobs/job/36535549?type=standard,AC3 Pty Limited,Sydney,2d ago,Be a Lead System Developer working on a mix of strategic projects and BAU activities to keep the lights on for the legacy systems.
PHP Developer Laravel,https://www.seek.com.au/jobs/job/36530541?type=standout,Digital Pacific,Sydney,2d ago,Great Software Developer opportunity to work in the biggest Web Hosting company in Australia. Apply your experience &amp; be exposed to new technologies!
Graduate DevOps Engineer,https://www.seek.com.au/jobs/job/36529834?type=standard,Revolution IT,Sydney,3d ago,Join one of Revolution IT's newest Graduate programs to kick-start your highly successful career as a Graduate DevOps Engineer
Software Engineer (Graduate to Mid-Level),https://www.seek.com.au/jobs/job/36529652?type=standout,Memjet North Ryde Pty Ltd,Sydney,3d ago,An exciting opportunity to join our Software Department based at North Ryde with onsite parking.
DevOps Platform Engineer,https://www.seek.com.au/jobs/job/36513052?type=standard,Westpac Group,Sydney,4d ago,Fly around Windows and Linux systems because it's in your DNA.
Senior Cloud Data Engineer,https://www.seek.com.au/jobs/job/36501191?type=standout,Macquarie Group Limited,Sydney,5d ago,Join an exciting Technology Team as a Senior Cloud Data Engineer to implement data workflows and ETL processes.
Full Stack PHP Developer,https://www.seek.com.au/jobs/job/36495768?type=standard,Robert Walters,Sydney,6d ago,This leading healthcare company is looking for Full Stack PHP Developer to work on web applications.
Linux Systems Administrator,https://www.seek.com.au/jobs/job/36494969?type=standout,Digital Pacific,Sydney,6d ago,"Be responsible for the day-to-day operation &amp; optimisation of our large-scale hosting platforms, internal cloud, dedicated servers &amp; more!"
Data Science Consultant,https://www.seek.com.au/jobs/job/36494176?type=standard,HCM Australia,Sydney,6d ago,"Design, develop and implement flexible and extensible analytic solutions that typically combine analytical, process and business transformation"
DevOps Engineer (COG-939899),https://www.seek.com.au/jobs/job/36480401?type=standout,Macquarie Group Limited,Sydney,9d ago,Grow your skills whilst using our cutting edge tools as a DevOps Engineer to develop and support our Tech tooling platforms.
Senior Java Developer (COG-938687),https://www.seek.com.au/jobs/job/36475451?type=standout,Macquarie Group Limited,Sydney,9d ago,An excellent opportunity for a Senior Java Developer with strong technical and communication skills to join our technology team.
AWS Cloud DevOps/Deployment Egineer,https://www.seek.com.au/jobs/job/35994650?type=standout,Amazon Web Services,Sydney,10d ago,Seeking highly motivated DevOps engineers who are passionate about technology &amp; want to work with one of the fastest growing Cloud platforms
Full-Stack Developer,https://www.seek.com.au/jobs/job/36468774?type=standout,finder.com.au,Sydney,10d ago,"HiveEx is building the future of cryptocurrency and financial comparison, and requires a talented Full-Stack Developer to help launch it."
DevOps Engineer,https://www.seek.com.au/jobs/job/36437365?type=standout,Q1 Professional Services,Sydney,14d ago,"Rapidly growing highly talented dev team working on some of Australia's largest automation projects . Leadership opportunities, new offices top salary"
DevOps Engineer,https://www.seek.com.au/jobs/job/36453402?type=standard,Capital Markets CRC Limited,Sydney,11d ago,A DevOps Engineer is required to support the development environment at this professional research and education organisation.
