Title,URL,Advertiser,Location,Listing Date,Short Description
AWS Senior Cloud Engineer (with Data Lake Experience),https://www.seek.com.au/jobs/job/36476279?type=standard,NIIT Technologies Pty Ltd,Brisbane,9d ago,"1. Solid Experience in Cloud Formation, Ansible, Git Pipelines and Docker 2. Strong Data Lake implementation experience 3. Strong knowledge of open so"
Java Developer- Permanent,https://www.seek.com.au/jobs/job/36539064?type=standard,Davidson Technology,Brisbane,2d ago,"Application development, maintaining existing systems, unit testing, release management, design and building databases &amp; identifying system issues. "
.NET Software Developer - Mid/Senior,https://www.seek.com.au/jobs/job/36538502?type=standard,Just Digital People,Brisbane,2d ago,Modern Agile team building high-availability software for thousands of international clients. Using CI/CD and cloud services. Easy travel - CBD based.
Site Reliability Engineer,https://www.seek.com.au/jobs/job/36532832?type=standout,Squiz Australia Pty Ltd,Brisbane,2d ago,"We are hiring a experienced Site Reliability Engineer to join our fantastic team, if you want to work with a great company check us out!"
Software Developer,https://www.seek.com.au/jobs/job/36530016?type=standout,u&u. Recruitment Partners,Brisbane,3d ago,Do you have a spare day or two a week? Are you a passionate web developer who can solve complex problems? Then apply within!
Drupal Developer,https://www.seek.com.au/jobs/job/36529632?type=standard,Davidson Technology,Brisbane,3d ago,"This is a exciting permanent position with a global organisation based in the heart of Brisbane.

Great working with great benefits.
"
Drupal Developer,https://www.seek.com.au/jobs/job/36529374?type=standout,Hudson,Brisbane,3d ago,Are you looking to be part of an awesome team? Are you looking to work with latest tech?
.Net Developer,https://www.seek.com.au/jobs/job/36528854?type=standout,Hudson,Brisbane,3d ago,Are you looking to be part of an awesome team? Are you looking to work with latest tech stack?
Intermediate .Net Developer,https://www.seek.com.au/jobs/job/36525882?type=standard,Brightfox,Brisbane,3d ago,"Opportunity to work with c# and javascript, full stack development across CRM, App's. Kiosk software, Web API's and more. Small team, 20+ yrs history."
PHP Developer,https://www.seek.com.au/jobs/job/36525689?type=standard,Orange Digital,Brisbane,3d ago,Work with an amazing team with unreal perks!
Fullstack web developer,https://www.seek.com.au/jobs/job/36525267?type=standout,PleaseSign,Brisbane,3d ago,Fullstack web developer with a passion for beautiful user experience and service architecture.
PHP Developers - Multiple Roles - Mid to Senior,https://www.seek.com.au/jobs/job/36524526?type=standard,Digital Native,Brisbane,3d ago,PHP + JavaScript | Full Stack | Product Development | API Work | Flexible Working Environment | Brisbane North Side location w\ free parking &amp; perks
Automation Test Analyst,https://www.seek.com.au/jobs/job/36517368?type=standard,Exclaim IT,Brisbane,4d ago,Fantastic opportunity for an engaged and enthusiastic Automation Tester to help drive high-quality releases on an Agile platform. 
DevOps Engineer,https://www.seek.com.au/jobs/job/36516674?type=standard,Gallagher Bassett,Brisbane,4d ago,Bring your expertise and experience to our global organisation for this DevOps Engineer role. 12 month fixed-term contract.
Database Administrator,https://www.seek.com.au/jobs/job/36516331?type=standard,Gallagher Bassett,Brisbane,4d ago,Seeking an expert to join our global organisation for a 12 month contract.
Java- Full Stack Developer,https://www.seek.com.au/jobs/job/36513317?type=standout,Ambition Technology,Brisbane,4d ago,"Java, Spring boot"
