Title,URL,Advertiser,Location,Listing Date,Short Description
Systems Engineer,https://www.seek.com.au/jobs/job/36522352?type=standard,Just Digital People,Melbourne,3d ago,"James - 0415 676 072... Puppet, Git/GitLab, Docker, Linux, Elastic Stack. Really cool NFP looking for talented Systems experts. Great products."
Automation Engineer - IAM,https://www.seek.com.au/jobs/job/36517830?type=standard,Viiew Pty Ltd,Sydney,4d ago,Git | Jenkins or GoCD | AWS | Ansible | Python | Bash | CD | 6 months rolling contract | Sydney CBD
Associate Consultant -GIT-LMT,https://www.seek.com.au/jobs/job/36370308?type=standard,Infosys limited,Sydney,23d ago,Work on a variety of critical client engagements with some of Australia's largest and most successful clients.
AWS Senior Cloud Engineer (with Data Lake Experience),https://www.seek.com.au/jobs/job/36476279?type=standard,NIIT Technologies Pty Ltd,Brisbane,9d ago,"1. Solid Experience in Cloud Formation, Ansible, Git Pipelines and Docker 2. Strong Data Lake implementation experience 3. Strong knowledge of open so"
Devops Engineer - AWS - Python - Build/ Release Manager - Multiple opportunities,https://www.seek.com.au/jobs/job/36452023?type=standard,Bridge Associates APAC Pty Ltd,Melbourne,12d ago,Devops - Build - Release - Containerization - Puppet - GIT - CI/CD - Linux
Front-end Developer,https://www.seek.com.au/jobs/job/36542369?type=standout,HealthShare Pty Limited,Sydney,17h ago,We are looking for a Front-end Developer to work across our entire product suite.
"3x .Net MVC Developer (Mid, Senior & Technical Lead) - ASX Listed Company",https://www.seek.com.au/jobs/job/36542096?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs",20h ago,"3x Roles: C# ASP.Net MVC, Web API, Azure, TDD, Agile - Sydney CBD - 6-12 month contract or permanent considered. Click here to find out more:"
"Multiple FRONT END UI Developer Roles: Javascript, Angular 4/5, ReactJS, NodeJS",https://www.seek.com.au/jobs/job/36542095?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs",20h ago,"Interesting work that will push and develop your Javascript skills! Single Page Apps, Angular 2/4/5, ReactJS, HTML5, CSS3. Multiple roles in Sydney"
** Mid & Senior Full Stack PHP Developers - Cloud Based SaaS Product **,https://www.seek.com.au/jobs/job/36542060?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs",21h ago,"Web, Mobile &amp; Cloud projects. Hackathons. Learn ReactJS, VueJS or NodeJS. Work on global products! Agile, TDD, CI/CD environment! Contract &amp; Perm AV"
.Net Cloud / Release Support Engineer,https://www.seek.com.au/jobs/job/36541947?type=standard,Long Resources,ACT,21h ago,This Fortune 500 client has a requirement for a Devops .Net Azure Cloud / Support Engineer for a Canberra based role focusing on government clients
Frontend Developer,https://www.seek.com.au/jobs/job/36541946?type=standard,Long Resources,Melbourne,21h ago,"Established start up developing best of breed software is seeking an AngularJS Developer, outstanding opportunity to learn grown and be challenged!!!"
Contract Drupal Developer,https://www.seek.com.au/jobs/job/36529904?type=standout,Rowben Consulting - Integrity | Quality | Commitment,Melbourne,3d ago,Drupal Development | Daily Rate Contract | CBD Location
Senior Full Stack Developer (.NET C#/Angular/Web API),https://www.seek.com.au/jobs/job/36329837?type=standard,Mainpac Pty Ltd,Melbourne,2d ago,"Permanent role - Full Stock Dev - .Net C#, Angular, HTML, SQL, Xamarin, Azure"
Java Developer,https://www.seek.com.au/jobs/job/36540399?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne,2d ago,Great opportunity for a Java Developer specialising in performance for an initial 6 month contract + extensions
Big Data Developer - Sydney,https://www.seek.com.au/jobs/job/36540397?type=standard,AYAN INFOTECH PTY LTD,Sydney,2d ago,Big Data Developer - Strong development experience on Big data stack or DevOps Stack
Web Application Developer,https://www.seek.com.au/jobs/job/36540392?type=standout,Weeks Group,Adelaide,2d ago,We’re looking for someone who can bring a variety of skill and expertise to our team! If you are looking for your next rewarding challenge – Join us t
Javascript Developer - Melbourne,https://www.seek.com.au/jobs/job/36540380?type=standard,Anderson Frank,Melbourne,2d ago,Calling all experienced Javascript Developers for an exciting opportunity based in Melbourne! 
Senior Xamarin / .Net Developer | Innovative Mobile Team | ASX Listed Company,https://www.seek.com.au/jobs/job/36540271?type=standard,TheDriveGroup,Sydney,2d ago,Work across new mobile projects for an awesome tech company based in Sydney CBD! Work towards a Tech Lead role/title.
Full Stack Developer - JavaScript,https://www.seek.com.au/jobs/job/36540104?type=standard,Bluefin Resources Pty Limited,Sydney,2d ago,ReactJS specialist required for Sydney CBD-based contract role.
Senior PHP Developer - PETstock Head Office,https://www.seek.com.au/jobs/job/36539922?type=standout,PETstock,Melbourne,2d ago,"Assist the eCommerce team to drive a world class customer experience for all PETstock customers, by building and developing our website and assets"
Senior Java Developer,https://www.seek.com.au/jobs/job/36539597?type=standard,iKas International Australia,Sydney,2d ago,Our client is a leading financial services institution renowned for utilising leading edge technology.
Front - End Developer,https://www.seek.com.au/jobs/job/36539559?type=standout,Natural Selection Group,Melbourne,2d ago,Permanent Melbourne based opportunity for a Front – end Developer.
React.JS Developer,https://www.seek.com.au/jobs/job/36539460?type=standard,Pearson Frank International,Melbourne,2d ago,Melbourne | React.JS Developer | Niche Digital Organization | Attractive salary package | Great team | Career progression opportunities
Web Developer (PHP 7 + Laravel),https://www.seek.com.au/jobs/job/36539458?type=standout,Spring Professional Ltd,Melbourne,2d ago,"Permanent opportunity based in Melbourne's inner-CBD suburbs, looking to start ASAP. Seeking someone skilled in LAMP stack and Javascript frameworks."
JavaScript Developer ( Angular.JS + Node.JS ),https://www.seek.com.au/jobs/job/36539085?type=standard,Pearson Frank International,Melbourne,2d ago,Melbourne CBD | JavaScript Developer | Product based organization | Full-stack Developer | Attractive salary package | Great Career progression
Java Developer- Permanent,https://www.seek.com.au/jobs/job/36539064?type=standard,Davidson Technology,Brisbane,2d ago,"Application development, maintaining existing systems, unit testing, release management, design and building databases &amp; identifying system issues. "
.NET MVC Developer,https://www.seek.com.au/jobs/job/36539017?type=standout,Hays Information Technology,Melbourne,2d ago,"Exciting long term .NET MVC government opportunity required for a digital transformation project, ASAP start!"
DevOps Team Lead,https://www.seek.com.au/jobs/job/36538785?type=standard,AC3 Pty Limited,Sydney,2d ago,"This role's primary purpose is to lead, influence and shape the DevOps product whilst delivering cloud solutions that ensure requirements are met."
Test Analyst,https://www.seek.com.au/jobs/job/36538810?type=standout,Hallis,Sydney,2d ago,We are looking for a Automation Test Analyst who enjoys the Test and Automation environment who thrives on working in a team.
Web Developer - Front End | Responsive UI,https://www.seek.com.au/jobs/job/36538774?type=standard,Barringtons Recruitment Group Pty Ltd,Sydney,2d ago,"Well established, creative, digital agency, diverse client projects. Responsive UI, Mobile solutions, Front End web developer. HTML5, CSS3, JavaScript"
Software developer,https://www.seek.com.au/jobs/job/36538680?type=standout,TEKsystems,Melbourne,2d ago,High profile greenfield customer facing web application
.NET Software Developer - Mid/Senior,https://www.seek.com.au/jobs/job/36538502?type=standard,Just Digital People,Brisbane,2d ago,Modern Agile team building high-availability software for thousands of international clients. Using CI/CD and cloud services. Easy travel - CBD based.
Senior Java Developer,https://www.seek.com.au/jobs/job/36538401?type=standout,TEKsystems,Melbourne,2d ago,Full stack Java development with focus on Secure coding for a globally recognised product.
Senior PHP Developer,https://www.seek.com.au/jobs/job/36538376?type=standout,2XM Technology Pty Ltd,Sydney,2d ago,"My client based in Surry Hills are looking to add 2 Senior PHP Developers to their team, they have recently taken on numerous high profile clients"
Senior PHP Developer - Media,https://www.seek.com.au/jobs/job/36538370?type=standout,2XM Technology Pty Ltd,Sydney,2d ago,One of my clients who are an industry leading media organisation are looking to add a Senior PHP Developer to their team
Senior Front-End Developer | 6-Month Contract,https://www.seek.com.au/jobs/job/36538104?type=standout,Agile Talent,Perth,2d ago,A fantastic opportunity for a Senior Front-End Developer  to work alongside an agile &amp; creative team on a series of dynamic digital projects!
Senior Drupal Developer / Lead,https://www.seek.com.au/jobs/job/36537489?type=standout,Digital Garden,Sydney,2d ago,Digital Garden is looking for a person with energy and a true passion for Drupal particularly around backend development.
Penetration Tester x 2,https://www.seek.com.au/jobs/job/36537273?type=standout,Peoplebank Australia WA,Perth,2d ago,"Performing vulnerability assessments and penetration tests of various infrastructure and devices connected to external or internal networks
"
FullStack PHP DEVELOPER,https://www.seek.com.au/jobs/job/36537199?type=standard,Opus Recruitment Solutions,Sydney,2d ago,Fullstack PHP / Contract / Sydney / Lucrative Rates
DevOps Engineer,https://www.seek.com.au/jobs/job/36537150?type=standard,Bluefin Resources Pty Limited,Melbourne,2d ago,"Bluefin are seeking a DevOps Engineer to join a growing Fintech client here in Melbourne.

"
Drupal Developer,https://www.seek.com.au/jobs/job/36537124?type=standard,Opus Recruitment Solutions,Sydney,2d ago,JOIN A MARKET LEADING COMPANY | 6 MONTH CONTRACT WITH POTENTIAL EXTENSION | LUCRATIVE DAY RATE
Datawarehouse Developer,https://www.seek.com.au/jobs/job/36536773?type=standard,Clicks IT Recruitment,Sydney,2d ago,Opportunity for an experience BI/DW Developer to join them on an initial 8 month Fixed Term Contract with good chance of becoming perm
Senior .Net Developer |Attractive salary |CBD,https://www.seek.com.au/jobs/job/36536715?type=standard,Robert Half Technology,Melbourne,2d ago,"An opportunity to develop a lucrative career in an ethical organization based in the CBD.

"
"Senior Software Engineer (AWS, C++, Angular 6, TDD, Agile)",https://www.seek.com.au/jobs/job/36536695?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney,2d ago,"Senior Software Engineer (AWS, C++, Node.js, Angular 6, JavaScript, TDD, Distributed Database SQL/NoSQL, Agile) - Circa $140k - CBD - Software House"
Software Developer (Fixed term contract),https://www.seek.com.au/jobs/job/36536621?type=standout,St John Ambulance WA,Perth,2d ago,Software Developer (Fixed term contract)
JavaScript AngularJS - Single Page Application Developer,https://www.seek.com.au/jobs/job/36536226?type=standard,ecareer employment services,Sydney,2d ago,"Urgent Requirement - Must have Single Page Application Development using JavaScript, Angular JS "
