Title,URL,Advertiser,Location,Listing Date,Short Description
ASP.NET - MVC 5 Developer - Brisbane,https://www.seek.com.au/jobs/job/36496796?type=standard,AYAN INFOTECH PTY LTD,Brisbane,6d ago,"We are looking for ASP.NET - MVC 5 Developer (BitBucket, GitHub, Octopus, TeamCity) to join an exciting project based in Brisbane."
Drupal Developer,https://www.seek.com.au/jobs/job/36529632?type=standard,Davidson Technology,Brisbane,3d ago,"This is a exciting permanent position with a global organisation based in the heart of Brisbane.

Great working with great benefits.
"
Drupal Developer,https://www.seek.com.au/jobs/job/36529374?type=standout,Hudson,Brisbane,3d ago,Are you looking to be part of an awesome team? Are you looking to work with latest tech?
PHP Developers - Multiple Roles - Mid to Senior,https://www.seek.com.au/jobs/job/36524526?type=standard,Digital Native,Brisbane,3d ago,PHP + JavaScript | Full Stack | Product Development | API Work | Flexible Working Environment | Brisbane North Side location w\ free parking &amp; perks
Full Stack Web Developer,https://www.seek.com.au/jobs/job/36500274?type=standout,Ambition Technology,Brisbane,5d ago,"Join an 8 month old fast-growing startup, straight out of San Francisco. With multiple role available, generous remuneration &amp; flexibility, APPLY NOW."
Junior-Mid Level DevOps Engineer,https://www.seek.com.au/jobs/job/36498398?type=standard,Paxus Australia Pty Ltd,Brisbane,6d ago,Looking for a Junior-Mid Level DevOps Engineer to join a global consultancy based in Brisbane’s CBD. 
Junior-Mid Level DevOps Engineer,https://www.seek.com.au/jobs/job/36498394?type=standard,Paxus Australia Pty Ltd,Brisbane,6d ago,Looking for a Junior-Mid Level DevOps Engineer to join a global consultancy based in Brisbane’s CBD. 
Junior Front End Developer | React.JS,https://www.seek.com.au/jobs/job/36475992?type=standard,Just Digital People,Brisbane,9d ago,Are you a Front End Developer looking to get your foot in the door with an awesome team of developers? Apply here!
Salesforce Developer,https://www.seek.com.au/jobs/job/36465059?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Brisbane,10d ago, ABOUT THE ROLE  We are looking for a talented &amp; experienced Salesforce Developer who is self-motivated and passionate about the Salesforce
Developer - .NET | Up to 110K + Super!,https://www.seek.com.au/jobs/job/36452539?type=standard,Just Digital People,Brisbane,12d ago,"Harold | .NET Core, Angular 2 + TypeScript"
Data Scientist,https://www.seek.com.au/jobs/job/36417217?type=standard,Rio Tinto,Brisbane,17d ago,Passionate about Data Science? Apply your creativity to our huge mine datasets at Rio Tinto in a Brisbane based role!
Data Engineer,https://www.seek.com.au/jobs/job/36417193?type=standard,Rio Tinto,Brisbane,17d ago,Engineer complex systems to manage BIG data compute tasks for Rio Tinto in a Brisbane based role!
Data Scientist,https://www.seek.com.au/jobs/job/36402620?type=standout,Rio Tinto,Brisbane,18d ago,Passionate about Data Science? Apply your creativity to our huge mine datasets at Rio Tinto in a Brisbane based role!
Data Engineer,https://www.seek.com.au/jobs/job/36402618?type=standard,Rio Tinto,Brisbane,18d ago,Engineer complex systems to manage BIG data compute tasks for Rio Tinto in a Brisbane based role!
Web Developer-Full Stack- C#,https://www.seek.com.au/jobs/job/36401617?type=standout,Ambition Technology,Brisbane,19d ago,Senior Full-stack Web Developers (C#)
Senior Python Developer,https://www.seek.com.au/jobs/job/36401468?type=standard,Just Digital People,Brisbane,19d ago,Harold | Up to 120K + Super on offer to help solve some compelling technical challenges
.NET Developer - Up to 100K + Super,https://www.seek.com.au/jobs/job/36391120?type=standard,Just Digital People,Brisbane,19d ago,Harold | Help build software to modernize a massively trafficked platform
Senior Full Stack Developer (React + Node.js),https://www.seek.com.au/jobs/job/36389971?type=standout,Coviu,Brisbane,20d ago,We're looking for an experienced full stack developer to become a key part of our team and help us make quality health care more accessible.
Golang Developer,https://www.seek.com.au/jobs/job/36390123?type=standard,Just Digital People,Brisbane,20d ago,Harold Liu | Join a dev-focused company that's dominating it's market through technical excellence
Java Developer - Up to 110K + Super,https://www.seek.com.au/jobs/job/36390122?type=standard,Just Digital People,Brisbane,20d ago,Harold | Create software that's solving interesting problems on a global scale
Front-end Developer,https://www.seek.com.au/jobs/job/36377609?type=standout,Fastrack Group,Brisbane,23d ago,We're a specialist web development + digital marketing agency focused on the travel industry looking for a gun full-time front-end web developer.
JS Developer/Analyst,https://www.seek.com.au/jobs/job/36376181?type=standard,Medipick Pty Ltd,Brisbane,23d ago,We are a technology company seeking a talented JS Developer/Analyst to complement our growing development team.
DevOps Engineer,https://www.seek.com.au/jobs/job/36335403?type=standard,Humanised Group,Brisbane,26d ago,"Reputable Consultancy looking for DevOps Experts to work in a customer facing role. High salaries, cool projects and limitless career opportunities"
DevOps Engineer,https://www.seek.com.au/jobs/job/36335404?type=standard,Humanised Group,Brisbane,26d ago,"Reputable Consultancy looking for DevOps Experts to work in a customer facing role. High salaries, cool projects and limitless career opportunities"
JavaScript Developer - $70 - $110k,https://www.seek.com.au/jobs/job/36324080?type=standard,Just Digital People,Brisbane,28d ago,Call me - Looking to pick up that next JS role; all the 2018 fancy draw points attached with this position.
Senior PHP Laravel Developer | $120k +,https://www.seek.com.au/jobs/job/36324079?type=standard,Just Digital People,Brisbane,28d ago,As the title states - hit me on 0432 454 184 to talk!
.NET Web Developer,https://www.seek.com.au/jobs/job/36316639?type=standard,Corearth Australia,Brisbane,30d ago,"A brand-new cloud-hosted web application | .NET Developer | C#, ASP.NET MVC(Razor), MS Azure, SQL, JavaScript, jQuery"
Front End Web Application Developer,https://www.seek.com.au/jobs/job/36312479?type=standard,Jadon Solutions Australia PTY LTD,Brisbane,30d ago,"If you're passionate about developing amazing web pages, we'd like to hear from you."
