Title,URL,Advertiser,Location,Listing Date,Short Description
Web Designer,https://www.seek.com.au/jobs/job/36542347?type=standout,HealthShare Pty Limited,Sydney,19h ago,We are looking for a Web Designer to work closely with our Marketing and Design teams on all public-facing digital material.
Front-end Developer,https://www.seek.com.au/jobs/job/36542369?type=standout,HealthShare Pty Limited,Sydney,19h ago,We are looking for a Front-end Developer to work across our entire product suite.
Front End Developer - React/Redux,https://www.seek.com.au/jobs/job/36540671?type=standard,Preacta Recruitment,Sydney,2d ago,Online gambling platform front end engineer working on a huge refresh of their highly transactional application used by millions!
Front End Architect (React),https://www.seek.com.au/jobs/job/36539952?type=standout,Lookahead Search,Sydney,2d ago,Sydney | Scale and improve our architecture. Help drive technical direction for our platform. Work with JavaScript and React.
Lead Developer,https://www.seek.com.au/jobs/job/36535549?type=standard,AC3 Pty Limited,Sydney,2d ago,Be a Lead System Developer working on a mix of strategic projects and BAU activities to keep the lights on for the legacy systems.
Senior Website Engineer,https://www.seek.com.au/jobs/job/36528458?type=standout,LEAP Dev,Sydney,3d ago,"Are you a talented Website Engineer with strong inter-personal skills looking to join a market leading, global organisation? If so apply now!"
"MS APS 2003, VB6, .Net, technical specialist, major scale data upgrade",https://www.seek.com.au/jobs/job/36524945?type=standard,Program Planning Professionals Pty Ltd,Sydney,3d ago,"Seasoned senior technical specialist with VB6, .Net and experience in Microsoft APS 2003 (and relevant Microsoft tools) Major scale upgrade"
Senior Drupal Architect,https://www.seek.com.au/jobs/job/36519572?type=standard,Opus Recruitment Solutions,Sydney,4d ago,DRUPAL ARCHITECT DEVELOPER | JOIN A MARKET LEADer | 6 MONTH CONTRACT TO PERM | LUCRATIVE DAY RATE
.Net Full-stack Developer,https://www.seek.com.au/jobs/job/36518706?type=standout,Peoplebank Australia NSW,Sydney,4d ago,"Do you want to work for an organisation that is constantly pushing the boundaries to keep ahead of the curve?

"
Senior Software Engineer - Energy Systems - C#/.Net,https://www.seek.com.au/jobs/job/36517910?type=standard,MCS Consulting,Sydney,4d ago,Take a key role as a C# developer working on control systems for energy storage applications.
Salesforce Developer,https://www.seek.com.au/jobs/job/36517348?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney,4d ago,"Great opportunity to work with a collaborative team in a fast-paced environment, based in Sydney's CBD."
UX/UI Designer for blockchain fintech experiencing strong growth,https://www.seek.com.au/jobs/job/36516913?type=standard,Othera Pty Ltd,Sydney,4d ago,Work for a leading blockchain fintech in a newly created position that has overall responsibility for UX/UI of our software.
Senior DevOps - Data Science,https://www.seek.com.au/jobs/job/36509377?type=standard,Ashdown People,Sydney,5d ago,Are you interested in Predictive Analytics for Sport? Using the latest techniques this firm researches &amp; models gameplay to derive insights.
Systems Engineer(Azure),https://www.seek.com.au/jobs/job/36508805?type=standard,Finite IT Recruitment Solutions,Sydney,5d ago,Use your Technical expertise in a consultative style approach for one of NSW largest government agencies. Innovative technloigies including Azure. 
