Title,URL,Advertiser,Location
"Software Engineer/Data Scientist Hybrid role, Sydney CBD $130-160K",https://www.seek.com.au/job/36494452?type=standard,inDmand Career Solutions,Sydney
Functional Programming - Senior Software Developer,https://www.seek.com.au/job/36479211?type=standout,Anton Murray Consulting,Sydney
Fin-Tech Software Engineer,https://www.seek.com.au/job/36477883?type=standard,Mars Recruitment,Sydney
Back End Developer & Engineer,https://www.seek.com.au/job/36464610?type=standard,IAG,Sydney
Senior Server Side Engineer | Java or Functional,https://www.seek.com.au/job/36422781?type=standard,PRA,Brisbane
Senior Backend Engineer | Growth role!,https://www.seek.com.au/job/36408341?type=standard,PRA,Brisbane
Senior Full Stack Developer (React + Node.js),https://www.seek.com.au/job/36389971?type=standout,Coviu,Brisbane
Technical QA Engineer (High End),https://www.seek.com.au/job/36334379?type=standard,Opus Recruitment Solutions,Sydney
SCALA Engineer roles,https://www.seek.com.au/job/36317554?type=standard,Robert Walters,Sydney
System Engineer- Python,https://www.seek.com.au/job/36288623?type=standard,HCL Australia Services Pty Ltd,Sydney
Functional Programming - Senior Software Developer,https://www.seek.com.au/job/36282402?type=standout,Anton Murray Consulting,Sydney
