Title,URL,Advertiser,Location,Listing Date,Short Description
Senior Software Engineer,https://www.seek.com.au/jobs/job/36330746?type=promoted,Lendi,Sydney,"","Join Australia's fastest-growing Fintech as a Senior Software Engineer; using Java/Scala, help us continue leading the online home loan revolution!"
Software Engineer,https://www.seek.com.au/jobs/job/36330647?type=promoted,Lendi,Sydney,"",Unique Software Engineer position with a focus on Java / Scala - join Australia's fastest-growing fintech &amp; lead the online home loan revolution!
Senior Digital Solutions Developer - Java & AWS,https://www.seek.com.au/jobs/job/36542163?type=standard,Oakton,Sydney,18h ago,Oakton is looking for a senior developer with strong experience in cloud applications. Be part of one of Austraia's leading consultancies.
Senior Java Developer - Sydney,https://www.seek.com.au/jobs/job/36540760?type=standard,Finite IT Recruitment Solutions,Sydney,1d ago,Senior Java Developer sought to join Financial Services (FinTech) client based right on Martin Place.
Java Full Stack Developer/ Engineer,https://www.seek.com.au/jobs/job/36540096?type=standout,Anson McCade Ltd,Sydney,1d ago,E-commerce platform that is rapidly expanding their operations and is therefore seeking mid-junior Java Developers to join their talented team
.Net and Java Developer(both mandatory) - IMMEDIATE REQUIREMENT (GOOD RATES),https://www.seek.com.au/jobs/job/35973907?type=standard,Advance Delivery Consulting,Sydney,2d ago,.Net Developer with Java exp.(mandatory) - Good rate (immediate start)
Java Developer - Financial Services,https://www.seek.com.au/jobs/job/36530214?type=standout,Spark Recruitment,Sydney,2d ago,Work in the Financial Services market on enterprise Java applications that are used globally.  We are looking for a Backend Guru! 
Senior Java Developer,https://www.seek.com.au/jobs/job/36539597?type=standard,iKas International Australia,Sydney,1d ago,Our client is a leading financial services institution renowned for utilising leading edge technology.
"Software Engineer/Platform Automation specialist - Python, Java, Ruby...",https://www.seek.com.au/jobs/job/36542647?type=standout,Ratio Group,Sydney,10h ago,Build a new bank! Exciting Fintech opportunity to build the software that will be the platform for the new enterprise
Java Development Manager,https://www.seek.com.au/jobs/job/36331754?type=standard,Helloworld Travel Limited,Sydney,2d ago,If you are an experienced Java Development Manager (B2B) then Helloworld Travel Limited would like to hear from you!
