Title,URL,Advertiser,Location
Jira & Confluence Administrator,https://www.seek.com.au/job/36498203?type=promoted,Area9 IT Solutions,Darwin
Jira & Confluence Administrator,https://www.seek.com.au/job/36498203?type=standout,Area9 IT Solutions,Darwin
JIRA / Confluence Systems Administrator - 12 month initial contract,https://www.seek.com.au/job/36480741?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,ACT
JIRA Administrator,https://www.seek.com.au/job/36471090?type=standard,Greythorn,Brisbane
Senior Digital Business Analyst| AGILE| WEB| Mobile| WireFrames| Jira|Confluene,https://www.seek.com.au/job/36443728?type=standard,Silk Recruitment,Sydney
Systems Administrator - JIRA/Confluence,https://www.seek.com.au/job/36397259?type=standout,Ignite,ACT
Support Engineer - Software - Splunk /Jira / Docker / AWS,https://www.seek.com.au/job/36394908?type=standard,Amplify Partners Pty Ltd,Sydney
Senior Software Configuration Analyst,https://www.seek.com.au/job/36492552?type=standard,Lockheed Martin,Adelaide
Senior Business Analyst| AGILE| Digital| WEB| Mobile| WireFrames| Jira|Confluene,https://www.seek.com.au/job/36358714?type=standard,Silk Recruitment,Sydney
Software Developer - VB6 / C# /.NET,https://www.seek.com.au/job/36476321?type=standout,Expert Sphere,Melbourne
Software Engineer,https://www.seek.com.au/job/36498944?type=standout,BAE Systems,Adelaide
ServiceNow Jira Java Perl Scripting Remedy Selenium,https://www.seek.com.au/job/36345381?type=standard,Paxus Australia Pty Ltd,Melbourne
Application Specialist,https://www.seek.com.au/job/36489606?type=standout,FutureYou,Sydney
Test Automation Developer,https://www.seek.com.au/job/36498799?type=standout,Modis,Melbourne
High Frequency Trading Application Developer,https://www.seek.com.au/job/36230207?type=standout,Data Processors Pty Ltd,Melbourne
Project Manager/SCRUM Master - 6 month contract - $740 per day,https://www.seek.com.au/job/36498489?type=standard,Sirius Technology Melbourne part of Sirius People Pty Ltd,Melbourne
Delivery Manager/ Scrum Master,https://www.seek.com.au/job/36498467?type=standard,Pinpoint Talent,Sydney
Technical Support Engineer,https://www.seek.com.au/job/36322063?type=standout,Civica International Pty Ltd,Sydney
Digital Business Analyst,https://www.seek.com.au/job/36497463?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
C++ Software Engineer,https://www.seek.com.au/job/36497072?type=standard,Attract People,Brisbane
Senior Business Analyst,https://www.seek.com.au/job/36497024?type=standout,Michael Page Technology,Melbourne
Software Developer,https://www.seek.com.au/job/36274023?type=standard,Accelo,"Wollongong, Illawarra & South Coast"
Business Analyst,https://www.seek.com.au/job/36496717?type=standout,Dentsu Aegis Network,ACT
Senior Back End Developer - Nodejs - Golang,https://www.seek.com.au/job/36496713?type=standard,CITI Recruitment,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36496499?type=standard,NSW Department of Industry,Sydney
Senior Business Analyst,https://www.seek.com.au/job/36496497?type=standard,NSW Department of Industry,Sydney
Product Support,https://www.seek.com.au/job/36317271?type=standout,CompliSpace Pty Ltd,Melbourne
Automation Test Analyst,https://www.seek.com.au/job/36496070?type=standout,Rowben Consulting - Integrity | Quality | Commitment,Melbourne
Java Developer,https://www.seek.com.au/job/36495929?type=standard,Finite IT Recruitment Solutions,Brisbane
Automation Test Engineer,https://www.seek.com.au/job/36495813?type=standout,Modis,Melbourne
Java Architect,https://www.seek.com.au/job/36495400?type=standard,ITbility,Sydney
Project Support Analyst,https://www.seek.com.au/job/36495391?type=standout,The Recruitment Company,Sydney
"Graduate Role - Assistant Governance, Risk and Compliance Consultant",https://www.seek.com.au/job/36495366?type=standout,CompliSpace Pty Ltd,Melbourne
Digital Product Manager,https://www.seek.com.au/job/36494756?type=standard,Tailors Mark,Melbourne
Customer Experience Lead,https://www.seek.com.au/job/36494631?type=standout,Yarris Pty Ltd,Melbourne
Digital Business Analyst,https://www.seek.com.au/job/36493982?type=standout,Michael Page,Melbourne
Delivery Manager - Scrum Master,https://www.seek.com.au/job/36493632?type=standard,Whizdom,Sydney
Delivery Manager/Scrum Master,https://www.seek.com.au/job/36492856?type=standout,Peoplebank Australia NSW,Sydney
Delivery Manager/Scrum Master,https://www.seek.com.au/job/36492842?type=standard,Compas Pty Ltd,Sydney
Full Stack Python Developer,https://www.seek.com.au/job/36492718?type=standard,Interpro - NSW,Sydney
Agile Delivery Manager / Scrum Master - AUS Citizen,https://www.seek.com.au/job/36492646?type=standout,Modis,Sydney
Reporting administrator (Jira)| Sydney CBD | Software |2 Weeks contract $850 p/d,https://www.seek.com.au/job/36327300?type=standard,Robert Half Technology,Sydney
Senior Business Analyst – ICT Application Products,https://www.seek.com.au/job/36492289?type=standard,Duncan Solutions,Sydney
.Net Developer - contract,https://www.seek.com.au/job/36492096?type=standard,Miller Gold Search & Select,Sydney
Java Developer,https://www.seek.com.au/job/36491877?type=standout,Hays Information Technology,Melbourne
Business Analyst (Junior),https://www.seek.com.au/job/36491739?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
PLATFORM OPERATIONS ADMINISTRATOR,https://www.seek.com.au/job/36491667?type=standout,Randstad - Business Support,Sydney
Delivery Manager/ Scrum Master - Federal Government,https://www.seek.com.au/job/36491354?type=standard,HiTech Personnel,Sydney
Big Data Engineer,https://www.seek.com.au/job/36491230?type=standard,Genesis IT&T P/L,Sydney
Business Systems Analyst,https://www.seek.com.au/job/36490828?type=standard,Protech Group,Brisbane
Senior Mobile Developer,https://www.seek.com.au/job/36490703?type=standard,Aurec,Sydney
Senior Angular Developer,https://www.seek.com.au/job/36490577?type=standard,Aurec,Sydney
