Title,URL,Advertiser,Location
Senior Java Engineer - back-end/Kotlin/microservices,https://www.seek.com.au/job/36473317?type=standard,Greythorn,Melbourne
"Android/iOS Mobile Developer - React Native, Kotlin, Java, Objective-C",https://www.seek.com.au/job/36406781?type=standard,The Ruby Group,Perth
Android (Kotlin) Developer - 6 month contract,https://www.seek.com.au/job/36365766?type=standard,S2P,Sydney
Android Developer,https://www.seek.com.au/job/36433879?type=standard,RedEye Apps,Brisbane
Android Developer | 3 month contract | Immediate start,https://www.seek.com.au/job/36497295?type=standout,FourQuarters Recruitment,Melbourne
Android Developer (junior-mid level),https://www.seek.com.au/job/36494669?type=standout,Mitchellake Consulting,Sydney
Technical Lead,https://www.seek.com.au/job/36492626?type=standard,Robert Walters,Melbourne
GOLANG DEVELOPER,https://www.seek.com.au/job/36490672?type=standard,Talentpool Recruitment,Sydney
Senior Mobile Engineer,https://www.seek.com.au/job/36396889?type=standout,Peoplebank Australia NSW,Sydney
Software Engineer/Developer,https://www.seek.com.au/job/36483760?type=standout,Outware Mobile (part of Arq Group),Melbourne
Mobile Tech Lead,https://www.seek.com.au/job/36477179?type=standard,Greythorn,Melbourne
"Android Developer (Wellington, NZ)",https://www.seek.com.au/job/36463992?type=standout,Absolute IT - 98.9%* of placed candidates will recommend us to others,Melbourne
Senior Test Engineer - Mobile/API/Web,https://www.seek.com.au/job/36463290?type=standard,Opus Recruitment Solutions,Sydney
Android/iOS Mobile Developers,https://www.seek.com.au/job/36460142?type=standard,PATH4 Technology,Brisbane
Android Developer,https://www.seek.com.au/job/36458980?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney
Web Developer,https://www.seek.com.au/job/36458828?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney
Engineering Lead,https://www.seek.com.au/job/36449429?type=standard,Just Digital People,Melbourne
Java Developer - Backend -,https://www.seek.com.au/job/36449146?type=standout,Modis,Sydney
MOBILE DEVELOPER,https://www.seek.com.au/job/36444730?type=standard,Finite IT Recruitment Solutions,Melbourne
Android/iOS Mobile Developer - React Native - Contract,https://www.seek.com.au/job/36439913?type=standard,The Ruby Group,Brisbane
Senior AWS DevOps Engineer,https://www.seek.com.au/job/36438762?type=standard,Greythorn,Melbourne
Android Developer,https://www.seek.com.au/job/36431815?type=standard,Just Digital People,Melbourne
Senior Go/Golang Engineer,https://www.seek.com.au/job/36430982?type=standout,Hays Information Technology,Sydney
Senior Android Engineer,https://www.seek.com.au/job/36429724?type=standard,Fairfax Media Pty Ltd,Sydney
Senior Android Developer,https://www.seek.com.au/job/36426096?type=standard,Just Digital People,Melbourne
Java Developer (AUSTRAC),https://www.seek.com.au/job/36348768?type=standard,Interactiveinc  PTY LTD,Sydney
EXPERT KOTLIN AND SWIFT DEVELOPER | 6 MONTH CONTRACT WITH LIKELY EXTENSION,https://www.seek.com.au/job/36272795?type=standard,Opus Recruitment Solutions,Sydney
Senior Android Developer,https://www.seek.com.au/job/36412049?type=standard,Opus Recruitment Solutions,Sydney
Senior Android Developer,https://www.seek.com.au/job/36411984?type=standard,Opus Recruitment Solutions,Sydney
"Automation Mobile Tester, $110 - $130K base, Sydney CBD Location",https://www.seek.com.au/job/36405700?type=standard,Needus,Sydney
"Senior/Lead Android Developer, Sydney CBD, $130 - $150K base",https://www.seek.com.au/job/36405697?type=standard,Needus,Sydney
"Java Developer - multiple roles, Sydney CBD, cloud exp",https://www.seek.com.au/job/36402908?type=standout,Modis,Sydney
Android Developer,https://www.seek.com.au/job/36399824?type=standard,Interpro - VIC,Melbourne
Senior Developer,https://www.seek.com.au/job/36393099?type=standout,FourQuarters Recruitment,Melbourne
Mid-Senior Android Developer,https://www.seek.com.au/job/36390664?type=standard,Opus Recruitment Solutions,Melbourne
Android Engineer,https://www.seek.com.au/job/36378339?type=standout,iflix,Melbourne
Android/iOS Mobile Developer,https://www.seek.com.au/job/36385840?type=standard,The Ruby Group,Sydney
Senior Java Developer - FX/Trading systems,https://www.seek.com.au/job/36385170?type=standard,Hydrogen Group Pty Ltd,Melbourne
Software Engineer,https://www.seek.com.au/job/36384734?type=standard,Progressive,Melbourne
Mobile Developer-iOS & Android Brisbane CBD,https://www.seek.com.au/job/36377070?type=standout,Ambition Technology,Brisbane
Full Stack Engineer/Lead - Relocate to Bali!,https://www.seek.com.au/job/36378058?type=standout,GO-JEK,Melbourne
Full Stack Engineer/Lead - Relocate to Bali!,https://www.seek.com.au/job/36378020?type=standout,GO-JEK,Sydney
Mobile Application Developer ( iOS + Android ),https://www.seek.com.au/job/36376764?type=standard,Pearson Frank International,Melbourne
Java Developer (kafka),https://www.seek.com.au/job/36338634?type=standard,Data#3 People Solutions,Sydney
"Senior ""Low Latency"" Java Developer @ Boutique Trading Specialist",https://www.seek.com.au/job/36375457?type=standout,Naviro,Melbourne
Android Engineer,https://www.seek.com.au/job/36370044?type=standout,Outware Mobile (part of Arq Group),Sydney
Android Developer (Contract or Perm),https://www.seek.com.au/job/36368014?type=standard,Transpire,Melbourne
Android Engineer,https://www.seek.com.au/job/36365407?type=standard,Terem Technologies,Sydney
Senior Android Developer,https://www.seek.com.au/job/36359506?type=standard,Greythorn,Melbourne
Senior Android Developer - Enterprise Mobile Innovation Program,https://www.seek.com.au/job/36355117?type=standout,Limelight People,Sydney
Senior Android Developer- Contract,https://www.seek.com.au/job/36353842?type=standard,Just Digital People,Sydney
Android Developer,https://www.seek.com.au/job/36353729?type=standout,Domestic Cat Software,Melbourne
Senior Android Engineer,https://www.seek.com.au/job/36353092?type=standard,Just Digital People,Sydney
Android / iOS / React Native Developers - 6M contract,https://www.seek.com.au/job/36351989?type=standout,Sandstone Technology,Sydney
Mobile Apps Developer,https://www.seek.com.au/job/36349079?type=standout,Edison Talent,Brisbane
Android Developer,https://www.seek.com.au/job/36347970?type=standard,PRA,Sydney
Senior Android Developer - 12 Month Contract!,https://www.seek.com.au/job/36344618?type=standard,Opus Recruitment Solutions,Sydney
Mobile Developer - ReactNative - Native Android,https://www.seek.com.au/job/36344340?type=standard,Opus Recruitment Solutions,Sydney
Mobile Developer,https://www.seek.com.au/job/36343856?type=standout,Oneflare Pty Ltd,Sydney
Java Developer,https://www.seek.com.au/job/36343553?type=standard,Bluefin Resources Pty Limited,Sydney
Back End Developer,https://www.seek.com.au/job/36343088?type=standard,Inteliment,Sydney
Java Developer - Backend -,https://www.seek.com.au/job/36341633?type=standout,Modis,Sydney
Senior Software Engineer - Java,https://www.seek.com.au/job/36338678?type=standard,Just Digital People,Sydney
Back End Developer,https://www.seek.com.au/job/36336623?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney
Senior Android Developer | Global Media GIANT | New suite of Apps,https://www.seek.com.au/job/36298529?type=standout,Naviro,Sydney
React Native Mobile Developer - Contract - Perth Based,https://www.seek.com.au/job/36335297?type=standard,The Ruby Group,Sydney
Backend Java Developer - Government - 12 Month Contract - Sydney,https://www.seek.com.au/job/36334543?type=standout,Paxus Australia Pty Ltd,Sydney
Mobile Developers - iOS and Android,https://www.seek.com.au/job/36334274?type=standout,2XM Technology Pty Ltd,Sydney
Senior Android Developer - Sydney,https://www.seek.com.au/job/36333380?type=standard,Opus Recruitment Solutions,Sydney
Backend Developer | 12 month contract,https://www.seek.com.au/job/36333212?type=standard,Kinexus,Sydney
Lead Java Engineer - Leading product focussed Fintech - up to $150K + Super.,https://www.seek.com.au/job/36332413?type=standard,Hyre.,Sydney
DevOps Engineer,https://www.seek.com.au/job/36332104?type=standard,Interpro - VIC,Melbourne
Android Developer,https://www.seek.com.au/job/36331900?type=standard,Just Digital People,Melbourne
Android Developer,https://www.seek.com.au/job/36331655?type=standard,Just Digital People,Melbourne
Backend Developer - Java,https://www.seek.com.au/job/36331628?type=standard,GMT People,Sydney
Java Developer,https://www.seek.com.au/job/36331623?type=standard,Bluefin Resources Pty Limited,Sydney
Senior Scala Engineers,https://www.seek.com.au/job/36326110?type=standout,Sandstone Technology,Sydney
Android Developer,https://www.seek.com.au/job/36290295?type=standard,Just Digital People,Melbourne
Expert Android Developer,https://www.seek.com.au/job/36317089?type=standard,GMT People,ACT
Android Developer,https://www.seek.com.au/job/36315998?type=standard,Aurec,ACT
"Mobile Developer ( Swift ,Java , React Native )",https://www.seek.com.au/job/36313190?type=standard,Pearson Frank International,Melbourne
Backend Java Developer - 12 month contract,https://www.seek.com.au/job/36310567?type=standout,2XM Technology Pty Ltd,Sydney
Native Mobile Developer - Android & iOS - 6 month contract paying upto $700,https://www.seek.com.au/job/36299844?type=standard,Just Digital People,Sydney
Front End JavaScript Engineer | 2 year old start up,https://www.seek.com.au/job/36299275?type=standout,SustainAbility Consulting,Sydney
Mobile Developers - iOS and Android,https://www.seek.com.au/job/36278794?type=standout,2XM Technology Pty Ltd,Sydney
Android Developer,https://www.seek.com.au/job/36278589?type=standout,Hudson,Sydney
Android Developer,https://www.seek.com.au/job/36274633?type=standard,Abacus POS,Melbourne
"Expression of Interest – API, Mobile, DevOps, Automation Engineers",https://www.seek.com.au/job/36273640?type=standout,Cognizant Technology Solutions Australia Pty Ltd,Perth
