Title,URL,Advertiser,Location
Instrumentation technician/engineer and Linux expert,https://www.seek.com.au/job/36498293?type=promoted,Process IQ Pty Ltd,Perth
Instrumentation technician/engineer and Linux expert,https://www.seek.com.au/job/36498293?type=standout,Process IQ Pty Ltd,Perth
Systems Engineer - Linux,https://www.seek.com.au/job/36490726?type=standard,Clicks IT Recruitment,Melbourne
Systems Engineer - Linux,https://www.seek.com.au/job/36490727?type=standard,Clicks IT Recruitment,Melbourne
DevOps Engineer | Linux/Unix - Puppet - Ansible - AWS,https://www.seek.com.au/job/36497502?type=standout,Attribute Consulting,Melbourne
Unix / Linux Systems Administrator,https://www.seek.com.au/job/36493891?type=standard,alcami,Sydney
IT Systems Administrator - SCCM 2012 | Windows | Linux | BlueCoat,https://www.seek.com.au/job/36487114?type=standout,iCHGROUP,Sydney
IT Operations Team Leader   |   Financial Services  |  Windows & Linux,https://www.seek.com.au/job/36496632?type=standard,Robert Half Technology,Sydney
Software Engineer - Embedded Linux | C++,https://www.seek.com.au/job/36486189?type=standout,en world Australia,Sydney
Senior Systems Administrator - Linux / UNIX,https://www.seek.com.au/job/36484745?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
Senior Systems Administrator - Linux / UNIX,https://www.seek.com.au/job/36484347?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Adelaide
Linux Engineer / Designer,https://www.seek.com.au/job/36485330?type=standard,Bluefin Resources Pty Limited,Sydney
Junior Project Manager - Linux Technical skills,https://www.seek.com.au/job/36477939?type=standard,Nasdaq,Sydney
AWS / Linux Support Engineer - Level 2,https://www.seek.com.au/job/36469442?type=standout,Launch Recruitment Pty Ltd,Melbourne
Senior Linux Engineer,https://www.seek.com.au/job/36479985?type=standout,Thales Australia & New Zealand,Sydney
Senior Linux & Cloud Services Engineer - Initial 12 Month Contract,https://www.seek.com.au/job/36462661?type=standard,AC3 Pty Limited,Sydney
Linux DevOps Engineer,https://www.seek.com.au/job/36461622?type=standout,MNF Group Limited,Sydney
Senior Linux Engineer - Redhat satellite,https://www.seek.com.au/job/36483904?type=standard,AC3 Pty Limited,Sydney
"Senior Java Software Engineer -FX, Flow Trading, Algo, Low Latency, Linux, KDB/Q",https://www.seek.com.au/job/36471382?type=standout,Xpand Group Pty Ltd,Melbourne
"Senior Java Software Engineer -FX, Flow Trading, Algo, Low Latency, Linux, KDB/Q",https://www.seek.com.au/job/36471119?type=standout,Xpand Group Pty Ltd,Melbourne
AWS/ Linux Systems Support Engineer - Big Data / Machine Learning,https://www.seek.com.au/job/36473834?type=standout,Limelight People,Sydney
Linux System Engineer,https://www.seek.com.au/job/36445584?type=standard,Robert Half Technology,Sydney
AWS/Linux - System Support Engineer,https://www.seek.com.au/job/36471224?type=standard,Aurec,Sydney
Linux System Administrator,https://www.seek.com.au/job/36443422?type=standard,Appscorp PTY LTD T/A ECConnect,Brisbane
Linux System Administrator,https://www.seek.com.au/job/36462199?type=standout,Attribute Consulting,Melbourne
System Engineer - Linux / Docker / CICD - Financial Services - CBD - contract,https://www.seek.com.au/job/36453161?type=standard,TTP Recruitment Pty Ltd,Sydney
Software Developer - Windows/Linux,https://www.seek.com.au/job/36443034?type=standard,AVI,Perth
Linux System Administrator  |   Financial Services   |  Red Hat / AWS,https://www.seek.com.au/job/36445888?type=standard,Robert Half Technology,Sydney
DevOps Engineer | Linux/Unix - Puppet - Ansible - AWS,https://www.seek.com.au/job/36442432?type=standout,Attribute Consulting,Melbourne
Linux Engineer,https://www.seek.com.au/job/36441976?type=standard,Balance Recruitment,Sydney
"DEVOPs - (Apache, JBoss, Linux Specialist)",https://www.seek.com.au/job/35797553?type=standard,Amadeus IT Pacific,Sydney
Linux Systems Administrator,https://www.seek.com.au/job/36434188?type=standard,Talentpool Recruitment,Melbourne
Senior Systems Administrator | Linux,https://www.seek.com.au/job/36422779?type=standard,PRA,Brisbane
Linux Engineer,https://www.seek.com.au/job/36422671?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,ACT
Embedded Software Engineer - C/C++ /Linux,https://www.seek.com.au/job/36417188?type=standard,Better Staff,Sydney
"Site Reliability Engineer / DevOps (Automation, Scripting, Ansible, Linux)",https://www.seek.com.au/job/36184611?type=standard,Amadeus IT Pacific,Sydney
"Senior Java Developer - FX, Flow Trading, Algo, Low Latency, Linux, KDB/Q",https://www.seek.com.au/job/36411296?type=standard,Xpand Group Pty Ltd,Sydney
Embedded Software Engineer (Linux Kernel),https://www.seek.com.au/job/36410484?type=standard,Smart Technology Recruitment Pty Ltd,Sydney
Senior Embedded Software Engineers (Linux Kernel),https://www.seek.com.au/job/36117853?type=standard,Smart Technology Recruitment Pty Ltd,Brisbane
Linux systems engineer,https://www.seek.com.au/job/36425978?type=standout,Kinexus,Adelaide
Automation DevOps Engineer - AWS | Ansible | Linux,https://www.seek.com.au/job/36416413?type=standard,Genesis IT&T P/L,Sydney
DevOps Engineer - Docker / Linux / CICD / GitLab - CBD based contract,https://www.seek.com.au/job/36415655?type=standard,TTP Recruitment Pty Ltd,Sydney
Linux Engineer - Networking - Virtualization - Storage,https://www.seek.com.au/job/36400656?type=standout,Naviro,Sydney
DevOps & System Engineer | Linux | Deployment & Support,https://www.seek.com.au/job/36398955?type=standard,MCS Consulting,Sydney
DevOps Engineer - Docker / Linux / CICD - Sydney CBD based contract,https://www.seek.com.au/job/36409573?type=standard,TTP Recruitment Pty Ltd,Sydney
Senior Linux Engineer,https://www.seek.com.au/job/36388807?type=standout,Hudson,Melbourne
DevOps Engineer | Linux/Unix - Puppet - Ansible - AWS,https://www.seek.com.au/job/36400345?type=standout,Attribute Consulting,Melbourne
"Backend Developer - Python, Linux, Java",https://www.seek.com.au/job/36393601?type=standout,Talent Realised,Sydney
System Administrator - LINUX,https://www.seek.com.au/job/36393428?type=standard,Mindworx Pty Ltd,Brisbane
Linux Administrator,https://www.seek.com.au/job/36396367?type=standout,Eagna Consulting,ACT
Systems Administrator - Linux & AWS,https://www.seek.com.au/job/36401735?type=standout,Motion Recruitment,Sydney
Systems Administrator - Red Hat Linux Server,https://www.seek.com.au/job/36387491?type=standard,Greythorn,Melbourne
Linux Engineer,https://www.seek.com.au/job/36381224?type=standard,Balance Recruitment,Sydney
Linux Admin / IP Network Engineer,https://www.seek.com.au/job/36379858?type=standard,SuperCoders IT Recruitment Melbourne,Melbourne
"DevOps Engineer, Python, AWS, Linux, Bash, CI, CM, SCM, Capital Markets Company",https://www.seek.com.au/job/36373421?type=standard,Xpand Group Pty Ltd,Sydney
"Python Developer, Finance, Data Analytics, C++, JAVA, Linux, Capital markets",https://www.seek.com.au/job/36373418?type=standard,Xpand Group Pty Ltd,Sydney
"Senior Java Developer - FX, Flow Trading, Algo, Low Latency, Linux, KDB/Q",https://www.seek.com.au/job/36373060?type=standard,Xpand Group Pty Ltd,Sydney
Linux System Engineer,https://www.seek.com.au/job/36370713?type=standard,PRA,Melbourne
Senior Linux Engineer - Redhat satellite,https://www.seek.com.au/job/36373443?type=standard,AC3 Pty Limited,Sydney
Cloud Engineer- Linux,https://www.seek.com.au/job/36370514?type=standout,Arq Group Ltd,Sydney
Linux Systems Engineer,https://www.seek.com.au/job/36358230?type=standout,Attribute Consulting,Sydney
Linux Engineer / Designer,https://www.seek.com.au/job/36350891?type=standard,Bluefin Resources Pty Limited,Sydney
Linux System Engineer - DevOps,https://www.seek.com.au/job/36358921?type=standard,MANTECH INTERNATIONAL SYSTEMS RECRUITMENT,Sydney
Graduate Backend Developer with Linux skills - Sydney or Interstate Australia,https://www.seek.com.au/job/36356495?type=standard,PretaGov,Sydney
Security Engineer (Incident Response),https://www.seek.com.au/job/36483152?type=standard,Dimension Data,Sydney
Senior Systems Engineer,https://www.seek.com.au/job/36478086?type=standard,Salmat Ltd,Sydney
Linux Systems Administrator,https://www.seek.com.au/job/36341521?type=standout,JX2 Technology Pty Ltd,Melbourne
Infrastructure Engineer - Windows / Linux,https://www.seek.com.au/job/36341247?type=standard,Tibra Capital,"Wollongong, Illawarra & South Coast"
DevOps and Infrastructure Engineer,https://www.seek.com.au/job/36472179?type=standard,Lexer,Melbourne
Unix/ Solaris Engineer,https://www.seek.com.au/job/36470250?type=standard,Chandler Macleod Group,ACT
Web App Development,https://www.seek.com.au/job/36466873?type=standout,Kinetic Performance Technology,ACT
Technical Team Lead - Systems Engineering  |    Well-Known FinTech-Based Firm,https://www.seek.com.au/job/36465212?type=standard,Robert Half Technology,Sydney
Back End Developer & Engineer,https://www.seek.com.au/job/36464610?type=standard,IAG,Sydney
Systems Support Engineer,https://www.seek.com.au/job/36464578?type=standard,IAG,Sydney
Technical Systems Administrator,https://www.seek.com.au/job/36460770?type=standard,The Citadel Group,Melbourne
Systems Administrators (Multiple Opportunities),https://www.seek.com.au/job/36498945?type=standout,BAE Systems,Adelaide
"Systems Administrator - Windows, Linux + Networking",https://www.seek.com.au/job/36341012?type=standout,Ethos BeathChapman,Sydney
"DevOps Linux Engineer. E-Commerce Firm, Huge Docker/ Puppet/ AWS Projects 9-5HRS",https://www.seek.com.au/job/36334052?type=standard,Northbridge Recruitment,Sydney
