Title,URL,Advertiser,Location
Motor Mechanic - Mobile Technician,https://www.seek.com.au/job/36343290?type=promoted,Sydney,Trades & Services
MECHANICS | LIGHT OR HEAVY VEHICLE | BRIDGING COURSE PAID FOR!,https://www.seek.com.au/job/36296953?type=promoted,Suttons,Sydney
DIESEL MECHANIC/TECHNICIAN - FIELD SERVICE & WORKSHOP,https://www.seek.com.au/job/36498789?type=standout,GT Diesel Truck Centre,Melbourne
LV Mechanic Goldfields,https://www.seek.com.au/job/36498367?type=standard,Downer EDI Limited,"Kalgoorlie, Goldfields & Esperance"
Mechanic,https://www.seek.com.au/job/36497959?type=standout,Alexandria Automotive Services,Sydney
Heavy Vehicle Mechanic - PITS Inspector,https://www.seek.com.au/job/36497664?type=standout,AWX Perth,Perth
MECHANIC,https://www.seek.com.au/job/36497260?type=standard,Picton Tyre & Mechanical,Sydney
Diesel Mechanic,https://www.seek.com.au/job/36497196?type=standout,Hays Manufacturing & Operations,Brisbane
Light Vehicle Mechanic,https://www.seek.com.au/job/36497087?type=standout,AWX Perth,Perth
1st/2nd Light Vehicle Mechanic | Inner West,https://www.seek.com.au/job/36496663?type=standard,MEGT,Sydney
Diesel Mechanic,https://www.seek.com.au/job/36400663?type=standout,SEBASTOPOL MACHINERY SERVICE,Mt Gambier & Limestone Coast
Heavy Vehicle Accessory Fitter /Diesel Mechanic,https://www.seek.com.au/job/36495810?type=standout,Hartwigs Trucks,Albury Area
Mechanic,https://www.seek.com.au/job/36495787?type=standout,Fast Track Staff Solutions,Melbourne
Mechanic - Tennant Creek,https://www.seek.com.au/job/36495181?type=standout,Barkly Regional Council,Katherine & Northern Australia
Mechanic - Tennant Creek,https://www.seek.com.au/job/36495180?type=standout,Barkly Regional Council,Katherine & Northern Australia
Heavy Vehicle Mechanic,https://www.seek.com.au/job/36495092?type=standard,Griffith Corporation,Brisbane
Qualified Diesel Mechanic,https://www.seek.com.au/job/36494991?type=standard,Redstar Transport,Perth
Motor Mechanic (Auto Technician),https://www.seek.com.au/job/36494805?type=standout,Justoyota,Melbourne
Refrigeration Mechanic - Puckapunyal,https://www.seek.com.au/job/36494724?type=standard,Broadspectrum (Australia) Pty Ltd,"Bendigo, Goldfields & Macedon Ranges"
Light Vehicle Mechanic,https://www.seek.com.au/job/36494620?type=standard,DFP Recruitment,Perth
Trailer Mechanic,https://www.seek.com.au/job/36494561?type=standard,Staff Australia Recruitment Services P/L,Melbourne
Automotive Mechanic,https://www.seek.com.au/job/36494273?type=standout,Automotive Action,Perth
Mechanic,https://www.seek.com.au/job/36373730?type=promoted,LUBE MOBILE PTY LTD,ACT
Motor Mechanic / Technician,https://www.seek.com.au/job/36460601?type=promoted,Melbourne,CBD & Inner Suburbs
DIESEL MECHANIC,https://www.seek.com.au/job/36494269?type=standout,Coops Drainage & Civil Pty Ltd,Gold Coast
Diesel Mechanic,https://www.seek.com.au/job/36494205?type=standard,Gold Coast,Trades & Services
Light Vehicle Mechanic,https://www.seek.com.au/job/36494017?type=standout,Hays Trades & Labour,Gold Coast
