Title,URL,Advertiser,Location,Area,Listing Date,Classification,Sub Classification,Work Type,Short Description
Senior Web Developer - HTML/PHP/JS/VUE,https://www.seek.com.au/job/36760740?type=promoted,InMarket Systems Pty Ltd,Brisbane,Southern Suburbs &amp; Logan,20 Jul 2018,Information &amp; Communication Technology,Web Development &amp; Production,Full Time,We are requiring an experienced web programmer for development of web based components for a large fintech project.
Experienced Back-end developer - Laravel PHP | MySQL | REST APIs,https://www.seek.com.au/job/36803133?type=promoted,Line 26 Pty Ltd,Brisbane,CBD &amp; Inner Suburbs,25 Jul 2018,Information &amp; Communication Technology,Developers/Programmers,Full Time,We need an experienced back-end specialist developer with a proven track record of developing REST API's using Laravel &amp; MySQL for React frontends.
PHP Developer,https://www.seek.com.au/job/36825788?type=standout,Seecode Pty Ltd,Brisbane,CBD &amp; Inner Suburbs,31m ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,A great opportunity for a PHP Developer with solid experience to contribute to an expanding agile development team.
Full Stack PHP Developer,https://www.seek.com.au/job/36814058?type=standard,Attract People,Brisbane,CBD &amp; Inner Suburbs,2d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,Call Bastiaan on 0422 254 206 | Great opportunity for a PHP developer to work on a cutting edge platform! React / PHP / Laravel / AWS
Front-end / Full Stack Developer - Modern JS / PHP,https://www.seek.com.au/job/36822719?type=standard,Paxus Australia Pty Ltd,Brisbane,CBD &amp; Inner Suburbs,2d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,"Front-end / Full Stack Developer urgently required to join a global, well respected organisation here in one of Brisbane's finest inner suburbs!"
PHP Developers - Multiple Roles - Mid to Senior,https://www.seek.com.au/job/36788770?type=standard,Digital Native,Brisbane,CBD &amp; Inner Suburbs,5d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,PHP + JavaScript | Full Stack | Product Development | API Work | Flexible Working Environment | Brisbane North Side location w\ free parking &amp; perks
PHP Developer - full-stack,https://www.seek.com.au/job/36789774?type=standout,High Street Underwriting Agency,Brisbane,Northern Suburbs,5d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,PHP Developer needed to join our development team on the Brisbane North side.
Experienced Back-end developer - Laravel PHP | MySQL | REST APIs,https://www.seek.com.au/job/36803133?type=standout,Line 26 Pty Ltd,Brisbane,CBD &amp; Inner Suburbs,4d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,We need an experienced back-end specialist developer with a proven track record of developing REST API's using Laravel &amp; MySQL for React frontends.
Web Developer | PHP | WordPress,https://www.seek.com.au/job/36799587?type=standard,PRA,Brisbane,CBD &amp; Inner Suburbs,4d ago,Information &amp; Communication Technology,Web Development &amp; Production,Full Time,Use your passion for web development to partner with a designer to deliver a number of exciting projects!
Senior PHP Developer,https://www.seek.com.au/job/36775903?type=standout,Attribute Testing,Brisbane,CBD &amp; Inner Suburbs,6d ago,Information &amp; Communication Technology,Developers/Programmers,Contract/Temp,"Senior PHP Developer with a focus working across the LAMP stack, CSS, HTML, JS and Symphony."
Senior PHP Developer,https://www.seek.com.au/job/36775893?type=standout,Attribute Consulting,Brisbane,CBD &amp; Inner Suburbs,6d ago,Information &amp; Communication Technology,Developers/Programmers,Contract/Temp,"Senior PHP Developer with a focus working across the LAMP stack, CSS, HTML, JS and Symphony."
PHP Developer ,https://www.seek.com.au/job/36774793?type=standout,Embedded Search &amp; Selection,Brisbane,CBD &amp; Inner Suburbs,6d ago,Information &amp; Communication Technology,Developers/Programmers,Full Time,Are you a PHP developer looking for an established and secure career opportunity. Our  established client in the Brisbane market offers all the above
