Title,URL,Advertiser,Location
Web Developer (PHP),https://www.seek.com.au/job/36501200?type=standard,Robert Walters,"Newcastle, Maitland & Hunter"
Graduate PHP Developer,https://www.seek.com.au/job/36501217?type=standard,Robert Walters,"Newcastle, Maitland & Hunter"
PHP Developer,https://www.seek.com.au/job/36370675?type=standard,FIRESOFT Consulting,"Newcastle, Maitland & Hunter"
Registered Nurse -  Aged Care Facilities (RACF)  Newcastle,https://www.seek.com.au/job/36488647?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Endorsed Enrolled Nurses - Acute Care - Newcastle,https://www.seek.com.au/job/36488627?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Registered Nurse - Disability Residential Care - Morisset,https://www.seek.com.au/job/36488596?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Trainee and Senior Word Press Developer x 2 Roles,https://www.seek.com.au/job/36485537?type=standout,Bottrell Business Consultants Pty Ltd,"Newcastle, Maitland & Hunter"
Data Specialist,https://www.seek.com.au/job/36483297?type=standard,CDA Eastland Trade Supplies,"Newcastle, Maitland & Hunter"
Registered Nurses ICU / CCU / ED- Newcastle,https://www.seek.com.au/job/36482154?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Endorsed Enrolled Nurses - Community/Direct Care - Newcastle,https://www.seek.com.au/job/36481846?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Registered Nurses - Community/Direct Care - Newcastle,https://www.seek.com.au/job/36480742?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Full Stack Developer,https://www.seek.com.au/job/36479983?type=standout,CIBIS International Pty Limited,"Newcastle, Maitland & Hunter"
Assistant Nurses (AIN) for Community/Home Care Clients,https://www.seek.com.au/job/36475020?type=standout,Programmed Health Professionals Pty Ltd,"Newcastle, Maitland & Hunter"
Lead Developer,https://www.seek.com.au/job/36428048?type=standout,Zimple Digital,"Newcastle, Maitland & Hunter"
