Title,URL,Advertiser,Location
"Technical Lead (Python, Ruby, Golang, Java)",https://www.seek.com.au/job/36385876?type=standard,Output Logic PTY LTD,ACT
Java / Python or Ruby Developer | Technical Lead,https://www.seek.com.au/job/36426499?type=standard,GMT People,ACT
Java / Python or Ruby Developer | Technical Lead,https://www.seek.com.au/job/36410744?type=standard,GMT People,Sydney
Python / Ruby Engineer,https://www.seek.com.au/job/36319612?type=standout,Michael Page Technology,ACT
Software Developer,https://www.seek.com.au/job/36447696?type=standout,Hudson,Perth
Technical Lead,https://www.seek.com.au/job/36416300?type=standout,Hudson,ACT
Senior C#/AWS Performance Engineer,https://www.seek.com.au/job/36487345?type=standard,Greythorn,Melbourne
DevOps Engineer,https://www.seek.com.au/job/36480199?type=standard,Aurec,Melbourne
Are you interested in Big Data (Must have strong Java / SQL skills),https://www.seek.com.au/job/36482774?type=standard,CircuIT Recruitment Group,Melbourne
Senior Data Developer Operations,https://www.seek.com.au/job/36482615?type=standout,Optus,Sydney
AWS Cloud DevOps/Deployment Egineer,https://www.seek.com.au/job/35994650?type=standout,Amazon Web Services,Sydney
Web Developer,https://www.seek.com.au/job/36472245?type=standard,Cloud Stratagem Pty. Ltd.,Melbourne
Cloud IT System Engineer - Perth,https://www.seek.com.au/job/36465658?type=standard,Schlumberger,Perth
Python Automation Architect - Melbourne,https://www.seek.com.au/job/36463585?type=standard,AYAN INFOTECH PTY LTD,Melbourne
AWS Solution Design Lead,https://www.seek.com.au/job/36461854?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Sydney
DevOps Engineer,https://www.seek.com.au/job/36460428?type=standout,FourQuarters Recruitment,Melbourne
Cloud Engineer,https://www.seek.com.au/job/36460814?type=standard,Progressive,Sydney
DevOps Engineer,https://www.seek.com.au/job/36451798?type=standard,Opus Recruitment Solutions,Sydney
Test Architect - Python,https://www.seek.com.au/job/36450912?type=standout,Peoplebank Australia NSW,Melbourne
Python Automation Tester,https://www.seek.com.au/job/36451103?type=standout,Peoplebank Australia NSW,Melbourne
"Python Automation Architect/ Python Automation Tester-Melbourne, Australia.",https://www.seek.com.au/job/36450812?type=standard,Silverlink Technologies Pty Ltd,Melbourne
Services and Interaction Design Consultant,https://www.seek.com.au/job/36215202?type=standout,Accenture,Sydney
Big Data Engineer,https://www.seek.com.au/job/36446806?type=standout,SALT SEARCH PTY LTD,Melbourne
Linux System Administrator,https://www.seek.com.au/job/36443422?type=standard,Appscorp PTY LTD T/A ECConnect,Brisbane
Senior AWS DevOps Engineer,https://www.seek.com.au/job/36438762?type=standard,Greythorn,Melbourne
Senior DevOps Engineer,https://www.seek.com.au/job/36437746?type=standout,CITI Recruitment,Sydney
Software Engineer,https://www.seek.com.au/job/36435879?type=standard,Orchestrated Systems Pty Ltd,Melbourne
DevOps/Cloud Engineer,https://www.seek.com.au/job/36432934?type=standout,Esri Australia Pty Ltd,Brisbane
DevOps Engineer,https://www.seek.com.au/job/36432325?type=standard,Progressive,Melbourne
Senior Go/Golang Engineer,https://www.seek.com.au/job/36430982?type=standout,Hays Information Technology,Sydney
Senior DevOps Engineer,https://www.seek.com.au/job/36431418?type=standard,Dot Technology Pty Ltd,Sydney
Senior DevOps engineer,https://www.seek.com.au/job/36346885?type=standout,Attribute Consulting,Melbourne
Technical Lead - High Performance Trading Products,https://www.seek.com.au/job/36423624?type=standout,IRESS Limited,Melbourne
Senior Software Engineer/Database Platform Automation specialist -Java / Ansible,https://www.seek.com.au/job/36418532?type=standard,Ratio Group,Sydney
High Frequency Trading Application Developer,https://www.seek.com.au/job/36230207?type=standout,Data Processors Pty Ltd,Melbourne
DevOps Engineer,https://www.seek.com.au/job/36414299?type=standard,MessageMedia,Melbourne
AWS Engineer,https://www.seek.com.au/job/36339821?type=standout,Menulog Group,Sydney
Senior Qlikview Developer,https://www.seek.com.au/job/36413110?type=standout,BI & DW Australia,Sydney
Full Stack Engineer / Web Developer,https://www.seek.com.au/job/36411618?type=standout,Kogan.com,Melbourne
AWS Architect,https://www.seek.com.au/job/36412669?type=standout,Accenture,Sydney
Software Developer (Technical Lead) | Canberra or Sydney,https://www.seek.com.au/job/36412039?type=standard,Kinexus,ACT
Technical Lead - Canberra Location,https://www.seek.com.au/job/36411466?type=standout,Modis,Melbourne
Technical Lead,https://www.seek.com.au/job/36411419?type=standout,Modis,ACT
DevOps Engineer | Chef / Puppet / Ansible,https://www.seek.com.au/job/36407247?type=standard,CITI Recruitment,Sydney
Software Engineer / Python,https://www.seek.com.au/job/36409144?type=standard,alcami,Sydney
Cloud Services Creation Specialist,https://www.seek.com.au/job/36408241?type=standard,Paxus Australia Pty Ltd,Melbourne
Senior DevOps / AWS Engineer - Contract,https://www.seek.com.au/job/36407635?type=standout,Versent Pty Ltd,Sydney
Senior DevOps Engineer/Manager,https://www.seek.com.au/job/36405465?type=standout,Industrie&Co,Sydney
DevOps / CloudOps Support Engineer,https://www.seek.com.au/job/36404027?type=standout,Versent Pty Ltd,Perth
AWS DevOps Lead,https://www.seek.com.au/job/36401945?type=standout,Ambition Technology,Brisbane
Linux Engineer - Networking - Virtualization - Storage,https://www.seek.com.au/job/36400656?type=standout,Naviro,Sydney
Senior iOS Developer,https://www.seek.com.au/job/36397319?type=standard,Domain Group,Sydney
Full Stack Developer,https://www.seek.com.au/job/36396947?type=standout,FMClarity,Melbourne
Dev Ops Lead,https://www.seek.com.au/job/36397236?type=standard,Revolution IT,ACT
Robotic Process Automation (RPA) Developer,https://www.seek.com.au/job/36394787?type=standout,PwC,Sydney
Lead Automation Tester,https://www.seek.com.au/job/36395649?type=standard,SAI Global Limited,Sydney
Senior DevOps - AWS Migration - Perm Role - Great Salary Package,https://www.seek.com.au/job/36393575?type=standout,Xpand Group Pty Ltd,Melbourne
Senior CloudOps / AWS Engineer,https://www.seek.com.au/job/36389328?type=standout,Versent Pty Ltd,Perth
Devops Engineer,https://www.seek.com.au/job/36387674?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney
DevOps Engineer,https://www.seek.com.au/job/36185297?type=standard,Amadeus IT Pacific,Sydney
Senior Full Stack Developer,https://www.seek.com.au/job/36378586?type=standard,Genesis IT&T P/L,Sydney
AWS DevOps Lead,https://www.seek.com.au/job/36378194?type=standout,Ambition Technology,Gold Coast
Software Developer,https://www.seek.com.au/job/36377261?type=standout,Adelaide Aspire,Adelaide
DevOps Engineer,https://www.seek.com.au/job/36372054?type=standard,Pactera Technology Australia Pty Ltd,Sydney
Senior Penetration Tester - Internal team,https://www.seek.com.au/job/36371614?type=standard,The Decipher Bureau,Sydney
Linux System Engineer,https://www.seek.com.au/job/36370713?type=standard,PRA,Melbourne
Senior DevOps Engineer,https://www.seek.com.au/job/36370390?type=standard,4impact,Brisbane
Java Developer,https://www.seek.com.au/job/36356017?type=standard,Huxley Associates,Sydney
Senior Platform Engineer - Government - Contract - Sydney,https://www.seek.com.au/job/36329306?type=standout,Paxus Australia Pty Ltd,Sydney
Senior Platform Engineer - DevOps,https://www.seek.com.au/job/36343771?type=standard,Bluefin Resources Pty Limited,Sydney
CLOUD Native Architect,https://www.seek.com.au/job/36342667?type=standard,HCL Australia Services Pty Ltd,Sydney
SharePoint Administrator,https://www.seek.com.au/job/36341767?type=standout,Michael Page Technology,Sydney
Lead Developer,https://www.seek.com.au/job/36340103?type=standout,Kinetic IT,Perth
Test Analyst - Training Environment (VIC),https://www.seek.com.au/job/36340102?type=standout,Property Exchange Australia (PEXA),Melbourne
Network Engineer,https://www.seek.com.au/job/36330091?type=standout,Comlinx Pty Ltd,Brisbane
DevOps Manager,https://www.seek.com.au/job/36328304?type=standout,Nintex,Melbourne
Senior Platform Engineer - DevOps,https://www.seek.com.au/job/36325547?type=standard,Bluefin Resources Pty Limited,Sydney
"DevOps, sys admin (Linux), Ansible",https://www.seek.com.au/job/36323796?type=standout,Modis,Sydney
"Multiple FRONT END UI Developer Roles: Javascript, Angular 4/5, ReactJS, NodeJS",https://www.seek.com.au/job/36322638?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs"
Junior DevOps Engineer,https://www.seek.com.au/job/36322410?type=standard,Capgemini Australia Pty Ltd,ACT
Want to get paid to continue/learn Golang?,https://www.seek.com.au/job/36321476?type=standout,teraDigital Services,Brisbane
Senior Platform / DevOps engineer,https://www.seek.com.au/job/36321192?type=standard,Recruitment Hive,Sydney
Site Reliability Engineer,https://www.seek.com.au/job/36320834?type=standout,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Melbourne
Linux Engineer,https://www.seek.com.au/job/36319346?type=standout,NTT COMMUNICATIONS ICT SOLUTIONS,Sydney
DevOps,https://www.seek.com.au/job/36318966?type=standout,BGL Corporate Solutions Pty Ltd,Melbourne
"Software Engineers - Full stack, Blockchain",https://www.seek.com.au/job/36318547?type=standard,Command Group,Perth
"Senior Connectivity Engineer - Connectivity, FIX, LINUX and Networking Concepts",https://www.seek.com.au/job/36318227?type=standard,Xpand Group Pty Ltd,Sydney
DevOps & Operations Systems Administrator,https://www.seek.com.au/job/36317443?type=standard,Enterprise IT Resources Pty Ltd,Sydney
Senior DevOps Engineer | 12 Month Contract,https://www.seek.com.au/job/36314988?type=standard,Kinexus,Sydney
Senior Platform Engineer,https://www.seek.com.au/job/36312701?type=standout,GMT People,Sydney
DevOps Engineer (12 month contract),https://www.seek.com.au/job/36312438?type=standout,SALT SEARCH PTY LTD,Sydney
Senior Platform Engineer - DevOps,https://www.seek.com.au/job/36311037?type=standard,Finite IT Recruitment Solutions,Sydney
DevOps Engineer | Contract | AWS | Linux | Puppet,https://www.seek.com.au/job/36310440?type=standout,Naviro,Sydney
Senior DevOps Engineer Consultant,https://www.seek.com.au/job/36310561?type=standout,Attribute Consulting,Melbourne
PHP Developer - Contract,https://www.seek.com.au/job/36306981?type=standout,Digital2Go,Melbourne
Senior Software Engineer,https://www.seek.com.au/job/36304708?type=standard,become,Melbourne
Full-Stack Developer (PHP),https://www.seek.com.au/job/36304044?type=standard,Lucidity Software,Melbourne
DevOps Engineer,https://www.seek.com.au/job/36302908?type=standout,Reece Australia Pty Ltd,Melbourne
Senior Full Stack Developer,https://www.seek.com.au/job/36299027?type=standard,CITI Recruitment,Sydney
