Title,URL,Advertiser,Location,Listing Date,Short Description
Senior Developer - Ruby & Javascript,https://www.seek.com.au/jobs/job/36532360?type=promoted,Cogent,Melbourne,"",Seeking a Senior Developer to work in an agile team on challenging problems for our clients who are Australia's leading .com's &amp; emerging start-ups.
Senior Developer Ruby on Rails,https://www.seek.com.au/jobs/job/36490771?type=promoted,Katalyst Interactive,Adelaide,"","Great opportunity for a senior developer in Adelaide. CBD location, supportive team, award-winning software developer passionate about Ruby on Rails!"
Ruby Developer,https://www.seek.com.au/jobs/job/36539645?type=standard,CircuIT Recruitment Group,Melbourne,1d ago,Ruby developers wanted - please apply for more details.
"Software Engineer/Platform Automation specialist - Python, Java, Ruby...",https://www.seek.com.au/jobs/job/36542647?type=standout,Ratio Group,Sydney,9h ago,Build a new bank! Exciting Fintech opportunity to build the software that will be the platform for the new enterprise
Ruby On Rails Developer,https://www.seek.com.au/jobs/job/36525276?type=standard,Innovate IT Consultancy Pty Ltd,Melbourne,3d ago,"Development using Ruby on Rails. Good in JavaScript/scripting language ? Web development using HTML5, CSS, Angular, Firebug, and Chrome Dev Tool."
Senior Developer - Ruby & Javascript,https://www.seek.com.au/jobs/job/36532360?type=standout,Cogent,Melbourne,2d ago,Seeking a Senior Developer to work in an agile team on challenging problems for our clients who are Australia's leading .com's &amp; emerging start-ups.
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36519090?type=standard,Pathfinder Recruitment,Melbourne,3d ago,"Ruby on Rails Developer needed for Tech solutions company based in Melbourne. Great career , salary and projects to work on."
Mid to Senior Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36512581?type=standout,Lookahead Search,Melbourne,4d ago,Remote | Use Ruby and Elixir to build software that makes a positive impact to people's lives.
Lead Ruby on Rails Engineer,https://www.seek.com.au/jobs/job/36517622?type=standard,Enterprise IT Resources Pty Ltd,Sydney,3d ago,Brilliant opportunity to lead a top Ruby development team - Highly innovative product to help people - Sydney based.
Mid to Senior Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36503033?type=standout,Lookahead Search,Sydney,5d ago,Sydney / Remote | Use Ruby and Elixir to build software that makes a positive impact to people's lives. Option to work remotely around Australia.
Ruby Developer - Brisbane,https://www.seek.com.au/jobs/job/36507763?type=standard,Employment Office,Brisbane,4d ago,Exciting opportunity for a Ruby on Rails Developer to grow with our innovative business. Work from home &amp; flexible hours negotiable.
Senior Ruby Developer,https://www.seek.com.au/jobs/job/36520188?type=standard,Redwolf + Rosch,Melbourne,3d ago,Do you want to join Melbourne's elite Rubyist's?
Senior Ruby Developer - Contract Job - SaaS Company,https://www.seek.com.au/jobs/job/36491535?type=standout,FourQuarters Recruitment,Melbourne,6d ago,Opportunity for a Ruby expert to join a product-based SaaS organisation to assist them whilst they change their technology stack to RoR.
Senior Developer Ruby on Rails,https://www.seek.com.au/jobs/job/36490771?type=standout,Katalyst Interactive,Adelaide,6d ago,"Great opportunity for a senior developer in Adelaide. CBD location, supportive team, award-winning software developer passionate about Ruby on Rails!"
RUBY Developer,https://www.seek.com.au/jobs/job/36487186?type=standard,CircuIT Recruitment Group,Melbourne,7d ago,Brilliant opportunity for an Agile thought-leading RUBY developer. Full-stack position| Agile environment| NEW Product Development| Attractive $$$|
Ruby Developer,https://www.seek.com.au/jobs/job/36492490?type=standard,Active Billling,Sydney,6d ago,Great opportunity to join a motivated team working on critical web application and full-stack and database development.
Software Engineer II - PHP or Ruby,https://www.seek.com.au/jobs/job/36499059?type=standout,Bigcommerce,Sydney,5d ago,Bigcommerce is looking for Software Engineer for our Sydney office who wants to make a difference to millions of merchants around the world.
"AWS developer, JavaScript/nodejs/Ruby, Docker, ECS, Postgres",https://www.seek.com.au/jobs/job/36485999?type=standard,SuperCoders IT Recruitment Melbourne,Melbourne,8d ago,"Fast growing startup company that develops interactive digital signage is adding an AWS developer to do  JavaScript/nodejs Docker, ECS, Postgres."
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36458797?type=standard,Robert Walters,Sydney,11d ago,Exciting opportunity for Ruby on Rails developers to join an innovative Digital team. fixed-term and 6 month contracts available!
"AWS developer, JavaScript/nodejs/Ruby, Docker, ECS, Postgres",https://www.seek.com.au/jobs/job/36462188?type=standard,SuperCoders IT Recruitment Melbourne,Melbourne,10d ago,"Fast growing startup company that develops interactive digital signage is adding an AWS developer to do  JavaScript/nodejs Docker, ECS, Postgres."
Ruby on Rails / JavaScript Developer,https://www.seek.com.au/jobs/job/36457448?type=standout,Lookahead Search,Sydney,11d ago,"Sydney | Flexible hours with work from home options. Tech startup, working with smart, motivated colleagues. Attractive salary and CBD location."
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36457398?type=standard,Interpro - VIC,Melbourne,11d ago,"- Competitive salary
- Permanent and contract positions available
- CBD location
 "
Ruby Developer,https://www.seek.com.au/jobs/job/36430150?type=standout,FourQuarters Recruitment,Melbourne,16d ago,Exciting Ruby on Rails opportunity with a successful software company in the CBD
Java / Python or Ruby Developer | Technical Lead,https://www.seek.com.au/jobs/job/36426499?type=standard,GMT People,ACT,16d ago,"Build world-class government digital services using modern open source tools and frameworks (Ruby, Python or Java)."
Ruby Developer,https://www.seek.com.au/jobs/job/36434897?type=standout,Lookahead Search,Melbourne,15d ago,Looking for an opportunity to change the world for the better? You've found it. Want to try event sourcing? We do that.
