Title,URL,Advertiser,Location,Listing Date,Short Description
Board Support Officer,https://www.seek.com.au/jobs/job/36457714?type=promoted,Our Community Company,West Gippsland and Latrobe Valley,"","Part-time Board Support Officer to manage administration and governance tasks for Our Community Company Ltd, franchisee of Bendigo &amp; Adelaide Bank."
Administrative/Ophthalmic Assistant,https://www.seek.com.au/jobs/job/36477740?type=promoted,Pioneer Eye,Mackay & Coalfields,"",A great opportunity exists for a Part-Time Administrative/Ophthalmic Assistant
Administration Officer,https://www.seek.com.au/jobs/job/36542399?type=standout,Precision Agriculture Pty Ltd,Ballarat & Central Highlands,14h ago,"To perform a range of administrative duties to ensure the smooth, efficient and effective operation of the Precision Agriculture business"
Part Time Sales Assistant,https://www.seek.com.au/jobs/job/36542653?type=standard,In2Memorabilia,South West Coast VIC,8h ago,Part Time Sales Assistant
Part time Kitchen Hand in Casey,https://www.seek.com.au/jobs/job/36542731?type=standard,Jora Local,ACT,5h ago,A restaurant in Casey is seeking a part time Kitchen Hand (up to 30 hours per week) to join our team.
"Night Invoicing, Data Entry & Customer Service Role",https://www.seek.com.au/jobs/job/36381359?type=standard,Perth,Fremantle & Southern Suburbs,9h ago,Permanent Part Time Immediate Start Located in Forrestdale
Part time Café All-rounder in Camberwell,https://www.seek.com.au/jobs/job/36542718?type=standard,Jora Local,Melbourne,6h ago,A cafe in Camberwell is seeking a part time Café All-rounder (up to 25 hours per week) to join our team.
Optical Assistant,https://www.seek.com.au/jobs/job/36542539?type=standard,Betta Vision,Sydney,12h ago,"We are looking for an enthusiastic, hard working and friendly individual to join our team."
Part time Café All-rounder in Caringbah South,https://www.seek.com.au/jobs/job/36542697?type=standard,Jora Local,Sydney,7h ago,A cafe/restaurant/bar in Caringbah South is seeking a part time Café All-rounder (up to 40 hours per week) to join our team.
Japanese Speaking Part-time Sales/Administrative Assistant,https://www.seek.com.au/jobs/job/36539005?type=standard,Chandler Macleod Group,Sydney,1d ago,Great opportunity to utilize your administrative skills and Japanese language skills.
Part time Cook in Lidcombe,https://www.seek.com.au/jobs/job/36542616?type=standard,Jora Local,Sydney,10h ago,A cafe in Lidcombe is seeking a part time Cook (up to 30 hours per week) to join our team.
Part time Barista in Lidcombe,https://www.seek.com.au/jobs/job/36542615?type=standard,Jora Local,Sydney,10h ago,A cafe in Lidcombe is seeking a part time Barista (up to 25 hours per week) to join our team.
Allocator,https://www.seek.com.au/jobs/job/36542348?type=standard,Victorian Nurse Specialists,Melbourne,14h ago,VNS is seeking a Customer Service driven individual to join our Allocations Team. Great work life balance and career progression!
Part time Barista in Caringbah South,https://www.seek.com.au/jobs/job/36542610?type=standard,Jora Local,Sydney,10h ago,A cafe/restaurant/bar in Caringbah South is seeking a part time Barista (up to 45 hours per week) to join our team.
Part time Cook in Parramatta,https://www.seek.com.au/jobs/job/36542586?type=standard,Jora Local,Sydney,10h ago,A cafe in Parramatta is seeking a part time Cook (up to 40 hours per week) to join our team.
Personal Assistant / Administrator (Construction),https://www.seek.com.au/jobs/job/36539744?type=standout,Brisbane,Bayside & Eastern Suburbs,1d ago,"Seeking a Personal Assistant / Administrator to join our highly successful construction company, based in south east Brisbane"
Client Services Administrator - Accounting Practice,https://www.seek.com.au/jobs/job/36542462?type=standout,JCA Accountants,Melbourne,13h ago,This new business is looking for an experienced client services administrator to assist with running all aspects of the accounting practice.
Part time Sandwich Hand in Mascot,https://www.seek.com.au/jobs/job/36542507?type=standard,Jora Local,Sydney,12h ago,A cafe in Mascot is seeking a part time Sandwich Hand (up to 25 hours per week) to join our team.
Intake Worker,https://www.seek.com.au/jobs/job/36542674?type=standard,Logan Women's Health & Wellbeing Centre Ltd,Brisbane,8h ago,Intake Worker - Women's Wellbeing Service Part time Permanent Position
Part time Cook in Elsternwick,https://www.seek.com.au/jobs/job/36542390?type=standard,Jora Local,Melbourne,14h ago,A restaurant/bar in Elsternwick is seeking a part time Cook (up to 30 hours per week) to join our team.
HR Manager,https://www.seek.com.au/jobs/job/36542391?type=standard,Worthington Prestige,Gosford & Central Coast,14h ago,"Prestige Automotive dealer located at Kariong, we are looking for an active, reliable and dedicated individual to join our team as HR Manager."
Marketing & Social Media,https://www.seek.com.au/jobs/job/36542663?type=standout,Australian Nutrition and Sports,Melbourne,9h ago,ANS are looking for a savvy Marketing Strategist with impeccable social media skills to drive traffic! Take the reins and make this your own space!
Receptionist,https://www.seek.com.au/jobs/job/36489797?type=promoted,Personalised Plumbing,Gladstone & Central QLD,"",Receptionist Needed!
TAS / VET Assistant,https://www.seek.com.au/jobs/job/36481578?type=promoted,Catholic Education Office,"Wollongong, Illawarra & South Coast","","Looking for a TAS/VET assistant to assist in the Food Technology, Hospitality, and VET faculties."
Part time Cook in Sydney,https://www.seek.com.au/jobs/job/36542295?type=standard,Jora Local,Sydney,15h ago,A cafe in Sydney is seeking a part time Cook (up to 40 hours per week) to join our team.
Part time Waiter/Waitress in Brunswick,https://www.seek.com.au/jobs/job/36542294?type=standard,Jora Local,Melbourne,15h ago,A bar/cafe/restaurant in Brunswick is seeking a part time Waiter/Waitress (up to 25 hours per week) to join our team.
Receptionist,https://www.seek.com.au/jobs/job/36540079?type=standard,RecruitShop,Sydney,1d ago,EARN an Above Award Salary  | 9 Month Maternity Contact | Flexible Hours | Lunch Provided | Extra Annual Leave &amp; Half Price Tuition! Immediate Start
Administration Assistant,https://www.seek.com.au/jobs/job/36538684?type=standard,Nexia Corp,Perth,1d ago,Malaga Accounting firm seeking part time administration assistant
Part time Barista in Blacktown,https://www.seek.com.au/jobs/job/36542172?type=standard,Jora Local,Sydney,17h ago,A cafe in Blacktown is seeking a part time Barista (up to 30 hours per week) to join our team.
Part time Cook in Blacktown,https://www.seek.com.au/jobs/job/36542171?type=standard,Jora Local,Sydney,17h ago,A cafe in Blacktown is seeking a part time Cook (up to 30 hours per week) to join our team.
Part time Dish Hand in Collingwood,https://www.seek.com.au/jobs/job/36542123?type=standard,Jora Local,Melbourne,17h ago,A cafe in Collingwood is seeking a part time Dish Hand (up to 20 hours per week) to join our team.
Salsa's Bondi Junction - Team Members,https://www.seek.com.au/jobs/job/36539502?type=standout,Salsa's Fresh Mex Grill,Sydney,1d ago,"We're on the lookout for vibrant, passionate Team Members to join our fresh Mex revolution!"
Receptionist Part Time / Facilities Assistant,https://www.seek.com.au/jobs/job/36539862?type=standard,CBRE,Sydney,1d ago,"Opportunity to work part time on a key global account, manage the reception desk whilst providing exceptional service."
Connections Adviser,https://www.seek.com.au/jobs/job/36540897?type=standard,i3R Outsourcing,Melbourne,1d ago,"Help Australian's move into their new home by connecting their electricity, gas, TV, telephone and internet"
Bookkeeper,https://www.seek.com.au/jobs/job/36542671?type=standout,Speed Parts Pty Ltd,Melbourne,8h ago,An opportunity has opened within Speed Parts for a friendly and talented individual to join the administration team with full management support.
Sales Stylist | Kalgoorlie,https://www.seek.com.au/jobs/job/36538913?type=standard,Taking Shape,"Kalgoorlie, Goldfields & Esperance",1d ago,Join our amazing fashion boutique in trendy Kalgoorlie filled with fabulous fashion &amp; people with personality!
Warehouse Manager,https://www.seek.com.au/jobs/job/36542157?type=standard,Eltham Carpet One,Melbourne,17h ago,"This is an opportunity to join a family owned and operated flooring business in the north eastern suburbs of Melbourne, working within the warehouse."
Part time Waiter/Waitress in Surry Hills,https://www.seek.com.au/jobs/job/36541867?type=standard,Jora Local,Sydney,19h ago,A restaurant in Surry Hills is seeking a part time Waiter/Waitress (up to 30 hours per week) to join our team.
Expereinced Cooks - Part Time and Casual roles available,https://www.seek.com.au/jobs/job/36542474?type=standard,Alliance Catering,Brisbane,13h ago,Outstanding opportunity for experienced and highly driven Cooks to join our team in Forest Lake - part time and casual roles available immediately!
Car Park Attendant,https://www.seek.com.au/jobs/job/36539367?type=standard,Launceston Drive Park Fly,Launceston & North East,1d ago,Staff required to provide great customer service. Launceston Drive Park Fly is a new long-term car park with hand carwash near Launceston Airport
Receptionist/Office Administrator (16+ hours per week),https://www.seek.com.au/jobs/job/36540260?type=standout,Microhouse Australia Ltd,Brisbane,1d ago,"Based in Wilston, a permanent part time opportunity is now available for a reliable, capable and friendly receptionist and administration officer."
RECEPTIONIST - massage venue,https://www.seek.com.au/jobs/job/36542065?type=standout,GIOXLE,Sydney,18h ago,RECEPTIONIST - massage venue
Rockstar Membership Consultant/Business Development,https://www.seek.com.au/jobs/job/36542404?type=standard,Fernwood Womens Health Clubs,Sydney,14h ago,The TEAM @ Fernwood Fitness Wetherill Park are looking for a Rockstar Membership Consultant to join our family.
Property Manager,https://www.seek.com.au/jobs/job/36540969?type=standout,JMW Real Estate,Bunbury & South West,1d ago,We are seeking applications from passionate candidates for the position of Property Manager.
Administration Officer,https://www.seek.com.au/jobs/job/36542399?type=promoted,Precision Agriculture Pty Ltd,Ballarat & Central Highlands,"","To perform a range of administrative duties to ensure the smooth, efficient and effective operation of the Precision Agriculture business"
Administration / Personal Assistant,https://www.seek.com.au/jobs/job/36525516?type=promoted,Peninsula Air Conditioning,Gosford & Central Coast,"",Part-time Administrator/PA for vibrant Northern Beaches Air Conditioning business position located in our remote office in Killcare Heights.
Fully Qualified Hairdressers Min 10 Years Experience,https://www.seek.com.au/jobs/job/36542523?type=standout,Hairhouse Warehouse Camberwell,Melbourne,12h ago,Part Time Available In the Camberwell Area Fully Qualified Hairdressers Only!
Part time Waiter/Waitress in Mooroopna,https://www.seek.com.au/jobs/job/36541529?type=standard,Jora Local,Shepparton & Goulburn Valley,1d ago,A restaurant in Mooroopna is seeking a part time Waiter/Waitress (up to 20 hours per week) to join our team.
Part time Barista in Hampton Park,https://www.seek.com.au/jobs/job/36541526?type=standard,Jora Local,Melbourne,1d ago,A cafe/restaurant/other in Hampton Park is seeking a part time Barista (up to 40 hours per week) to join our team.
Part Time Fashion Sales Executive - Burnside,https://www.seek.com.au/jobs/job/36540421?type=standout,Oxford Shop,Adelaide,1d ago,We have a rare and exciting opportunity for Experienced Part Time Sales Executive for our Burnside.
Part Time Fashion Sales Executives - Sydney Domestic Airport,https://www.seek.com.au/jobs/job/36387671?type=standout,Oxford Shop,Sydney,1d ago,We have a rare and exciting opportunity for Experienced Part Time Sales Executives for our Sydney Domestic Airport Stores.
upholsterer / leather worker,https://www.seek.com.au/jobs/job/36541540?type=standout,Bromley & Co,"Bendigo, Goldfields & Macedon Ranges",1d ago,seeking a very experienced upholstery who can work with a variety of materials including leather for anything from cushions through to car trimming
Office Administrator | Part Time | Sydney,https://www.seek.com.au/jobs/job/36539757?type=standout,PrompCorp,Sydney,1d ago,We are looking for an experienced administrator to join our growing team on a part time basis.
Part time Barista in Bankstown,https://www.seek.com.au/jobs/job/36541397?type=standard,Jora Local,Sydney,1d ago,A cafe in Bankstown is seeking a part time Barista (up to 25 hours per week) to join our team.
Part time Bartender in Elsternwick,https://www.seek.com.au/jobs/job/36541166?type=standard,Jora Local,Melbourne,1d ago,A bar in Elsternwick is seeking a part time Bartender (up to 15 hours per week) to join our team.
Part time Sandwich Hand in Milperra,https://www.seek.com.au/jobs/job/36540057?type=standard,Jora Local,Sydney,1d ago,A cafe in Milperra is seeking a part time Sandwich Hand (up to 20 hours per week) to join our team.
In Store Visual Merchandiser,https://www.seek.com.au/jobs/job/36541482?type=standard,Hugo Boss Australia Pty. Ltd.,Sydney,1d ago,Flagship store role is the ideal opportunity for a budding Visual Merchandiser to master the fundamentals of their craft with an iconic global brand!
HR - People Services Specialist,https://www.seek.com.au/jobs/job/36539769?type=standard,Auswide Bank Ltd,Bundaberg & Wide Bay Burnett,1d ago,An opportunity for a highly motivated permanent part-time HR and Payroll Specialist with a proven skill set in payroll processing and HR support.
Brazilian Butterfly Epping,https://www.seek.com.au/jobs/job/36542256?type=standard,brazilian butterfly Epping,Melbourne,16h ago,Experienced Beauty Therapist
Beauty Therapist,https://www.seek.com.au/jobs/job/36542526?type=standout,National Salon And Spa Recruitment,Melbourne,12h ago,Vitality Beauty Bar is now hiring! We are on the hunt for an experienced beauty therapist to join our team in Glen Iris!
Portrait Photographer/Studio Stylist,https://www.seek.com.au/jobs/job/36541468?type=standout,Action Studio,Brisbane,1d ago,A brilliant opportunity has opened up for a Portrait Photographer to join our Brisbane studio.
Financial Planning Support Officer,https://www.seek.com.au/jobs/job/36539411?type=standout,Telstra Super,Melbourne,1d ago,Are you a 2nd or 3rd year Uni student studying Financial Planning/Advice and are looking for industry experience? This role will be perfect for you!
Retail Sales Consultant - CBD & Werribee,https://www.seek.com.au/jobs/job/36541175?type=standard,RACV,Melbourne,1d ago,"City location weekdays, Werribee location on the weekends!"
Retail Sales Consultant - Shepparton,https://www.seek.com.au/jobs/job/36541119?type=standard,RACV,Shepparton & Goulburn Valley,1d ago,A glorious position in the Goulburn Valley!
Accounting Assistant - Bank Reconciliation / Debt Collection,https://www.seek.com.au/jobs/job/36542017?type=standout,Exelect Recruitment,Sydney,18h ago,"You’re good at keeping the books in good shape and debtors up to date, looking for a flexible role you can make your own."
Part Time Merchandise Planner,https://www.seek.com.au/jobs/job/36541751?type=standard,MISHA COLLECTION,Melbourne,20h ago,Be responsible for optimising growth by creating and managing brand plans in line with the financial objectives of the company.
Food Services Assistant,https://www.seek.com.au/jobs/job/36466360?type=promoted,Brodribb Home Inc.,Toowoomba & Darling Downs,"",Food Service Attendant
Part Time Pharmacy Assistant,https://www.seek.com.au/jobs/job/36498567?type=promoted,Thomsons Pharmacy,Toowoomba & Darling Downs,"",We are seeking Part Time Pharmacy Assistant. Level 1 or higher preferred but trainee accepted. Delivery plus store based customer service duties.
Inbound Customer Service Consultant - Gas - Part time,https://www.seek.com.au/jobs/job/36539953?type=standout,Aegis Australia,Melbourne,1d ago,"Melbourne CBD Location, close to public transport! Apply today to be part of a growing team!!"
Client Services Officer,https://www.seek.com.au/jobs/job/36539240?type=standout,Hays Office Support,Melbourne,1d ago,Join a successful and stable family orientated Financial Planning Firm as a Client Services Officer.
Disability Support Worker,https://www.seek.com.au/jobs/job/36542457?type=standout,Sydney Health & Care Services,Sydney,12h ago,Assisting individuals with disability for personal care as well as assisting with social and recreational activities.
Part Time │ Specialist Retail Concierge │ Liverpool,https://www.seek.com.au/jobs/job/36541154?type=standout,Optus,Sydney,1d ago,Enhance the customer experience while achieving your targets
Multiple Call Centre Operators,https://www.seek.com.au/jobs/job/36542216?type=standout,TactiCall Recruitment Services,Brisbane,16h ago,"Long term casual, view to permanent part time roles. Min 15 hours / week.  Spring Hill. Evening and Weekend Shifts. Perfect for work life balance"
Swimming Teachers,https://www.seek.com.au/jobs/job/36541796?type=standard,Sydney,North Shore & Northern Beaches,20h ago,"You don�t need any experience, just the right attitude and a desire to learn."
