Title,URL,Advertiser,Location
Technical Analyst,https://www.seek.com.au/job/36482797?type=standout,Link Group,Sydney
Business Analyst - XML Data Conversion,https://www.seek.com.au/job/36479000?type=standard,Robert Walters,Sydney
Technology Lead - Oracle Middleware,https://www.seek.com.au/job/36473844?type=standard,Infosys limited,Melbourne
Junior Project Manager,https://www.seek.com.au/job/36472659?type=standard,Robert Walters,Sydney
Data Analyst,https://www.seek.com.au/job/36415928?type=standout,Hudson,ACT
Technical Support Engineer,https://www.seek.com.au/job/36485586?type=standard,Greythorn,Sydney
Junior / Graduate Developer,https://www.seek.com.au/job/36483497?type=standout,SPS Commerce,Melbourne
Integration Data Analyst,https://www.seek.com.au/job/36482442?type=standard,Exclaim IT,Brisbane
Senior Test Automation Analyst,https://www.seek.com.au/job/36471223?type=standout,The Recruitment Company,Sydney
XML Data Conversion Project Manager,https://www.seek.com.au/job/36387335?type=standout,Standards Australia Ltd,Sydney
"Senior Test Automation Analyst (Java, BDD, Cucumber) - 6 month contract",https://www.seek.com.au/job/36462428?type=standout,Harvey Nash,Sydney
Senior Integration Developer,https://www.seek.com.au/job/36414746?type=standout,Peoplebank Australia NSW,Sydney
Java Developer,https://www.seek.com.au/job/36397896?type=standard,Quay Appointments,Sydney
Oracle Fusion Middleware Team Lead/Senior Developer,https://www.seek.com.au/job/36282302?type=standard,Greythorn,ACT
3 x .Net Software Developer,https://www.seek.com.au/job/36278629?type=standard,Finite IT Recruitment Solutions,Sydney
