Title,URL,Advertiser,Location,Listing Date,Short Description
.Net Developer,https://www.seek.com.au/jobs/job/36539767?type=standout,Modis,ACT,1d ago,Looking for someone multi-skilled across other languages such as Java and Python to join one of our clients for a long term engagement
Application Developer,https://www.seek.com.au/jobs/job/36539378?type=standout,Modis,ACT,1d ago,Seeking a Application Developer to assist one of our clients with an interesting project
Junior Application Developer,https://www.seek.com.au/jobs/job/36538782?type=standard,Finite IT Recruitment Solutions,ACT,1d ago,A good opportunity for a junior developer to get a role into Federal Government | City location 
Developer - REST API / .Net,https://www.seek.com.au/jobs/job/36538728?type=standard,Compas Pty Ltd,ACT,1d ago,Compas has a current requirement for a multi-skilled Developer to work with our federal government client for a contract until 30 June 2019. 
"Datawarehouse developers, Dotnet Developers, SSRS Report developers",https://www.seek.com.au/jobs/job/36538517?type=standard,Softtestpays,ACT,1d ago,"Long term Contract roles with federal gov clients renewed every financial year, Citizenship is mandatory and opportunity to get baseline clearance"
Developer / System Designer,https://www.seek.com.au/jobs/job/36537562?type=standard,Paxus Australia Pty Ltd,ACT,1d ago,Government Agency seeking multiple Developer / System Designers for non-ongoing roles in Canberra. 
Developer / System Designer,https://www.seek.com.au/jobs/job/36537543?type=standard,Paxus Australia Pty Ltd,Sydney,1d ago,Government Agency seeking multiple Developer / System Designers for non-ongoing roles in Canberra. 
DEVELOPER (REST API / .NET),https://www.seek.com.au/jobs/job/36535550?type=standout,Dynamo Recruitment,ACT,1d ago,OUR CLIENT IS SEEKING A DEVELOPER (REST API / .NET) FOR A 12 MONTH CONTRACT WITH A POSSIBLE FURTHER 12 MTH EXTENSION
Developer (REST API / .net),https://www.seek.com.au/jobs/job/36535073?type=standard,Whizdom,ACT,1d ago,Seeking a Developer who is multi-skilled across other languages such as Java and Python to potentially take advantage of technology offerings
Application Developer,https://www.seek.com.au/jobs/job/36531202?type=standard,Paxus Australia Pty Ltd,Melbourne,2d ago,Fix-term opportunity for a Federal Government Agency with SOAP web services and XML experience within an agile environment.
Junior - Mid level Application Developer,https://www.seek.com.au/jobs/job/36529457?type=standout,Modis,ACT,2d ago,Seeking a Junior Application Developer to assist one of our clients with an interesting project
Applications Developer (s),https://www.seek.com.au/jobs/job/36519230?type=standard,Recruitment Hive,ACT,3d ago,Multiple Positions - 12 Month Contract - Canberra City Location - Obtain Your Baseline Clearance - Call Andy on (02) 6299 1006 - Fed Gov
Application Developer (C#) - 12 Month Contract - Baseline Clearance,https://www.seek.com.au/jobs/job/36517703?type=standard,Data#3 People Solutions,ACT,3d ago,Exciting Opportunity for an Experienced C# Developer in a Tier 1 Government Department to join on a 12 Month Contract. Baseline Clearance Required.
Application Developer,https://www.seek.com.au/jobs/job/36514816?type=standard,Aurec,ACT,3d ago,Our client requires the services of an experienced Application Developer to join their team.
Application Developer,https://www.seek.com.au/jobs/job/36514301?type=standard,Whizdom,ACT,3d ago,Seeking an experienced Application Developer who will be accountable for undertaking a range of requirement gathering activities.
Application Developer,https://www.seek.com.au/jobs/job/36513294?type=standard,The Citadel Group,ACT,3d ago,"Federal Government client requires Application Developer for 12 month project. Great Culture, apply now!"
Application Developer,https://www.seek.com.au/jobs/job/36513292?type=standout,Ignite,ACT,3d ago,Our client is seeking an Application Developer for an initial 12 months contract.
.Net Developer,https://www.seek.com.au/jobs/job/36512243?type=standout,Paxus Australia Pty Ltd,ACT,4d ago,"City based, 12 month contract to work within a digital delivery environment"
Software and Middleware Developers,https://www.seek.com.au/jobs/job/36512002?type=standout,Canberra Consulting,ACT,4d ago,We want to hear from you as our Federal Government Client has multiple Software and Middleware Developer roles available. 
Software Developer,https://www.seek.com.au/jobs/job/36511614?type=standard,Compas Pty Ltd,ACT,4d ago,Compas has a current requirement for a Junior Application Developer to work with our federal government client for a contract until 30 June 2019. 
Application Developer,https://www.seek.com.au/jobs/job/36493941?type=standard,Paxus Australia Pty Ltd,Perth,5d ago,An excellent opportunity for Application Developer to secure a long term contract and contribute to the evolving system architecture and design.
Solution Architect,https://www.seek.com.au/jobs/job/36477026?type=standard,Itree Pty Limited,"Wollongong, Illawarra & South Coast",8d ago,Join an exciting Australian software &amp; product development company in the role of Solution Architect.
Developer / System Designer,https://www.seek.com.au/jobs/job/36471431?type=standout,Peoplebank Australia VIC,Melbourne,9d ago,Develop code to government standards PLUS great benefits! 
Developer,https://www.seek.com.au/jobs/job/36471213?type=standout,Hudson,ACT,9d ago,One of Hudson's key Government clients is looking to engage the services of an experienced Developer.
Developer / System Designer,https://www.seek.com.au/jobs/job/36466929?type=standard,Greythorn,ACT,9d ago,"Our Large Federal Government client is seeking the services of an experienced ""Developer / System Designer"""
