Title,URL,Advertiser,Location,Listing Date,Short Description
Application Developer,https://www.seek.com.au/job/36493941?type=standard,Paxus Australia Pty Ltd,Perth,22h ago,An excellent opportunity for Application Developer to secure a long term contract and contribute to the evolving system architecture and design.
Application Developer,https://www.seek.com.au/job/36484146?type=standard,Paxus Australia Pty Ltd,Melbourne,4d ago,Fix-term opportunity for a Federal Government Agency with SOAP web services and XML experience within an agile environment.
Solution Architect,https://www.seek.com.au/job/36477026?type=standard,Itree Pty Limited,"Wollongong, Illawarra & South Coast",4d ago,Join an exciting Australian software &amp; product development company in the role of Solution Architect.
Developer / System Designer,https://www.seek.com.au/job/36476606?type=standard,Paxus Australia Pty Ltd,Sydney,4d ago,Government Agency seeking multiple Developer / System Designers for non-ongoing roles in Canberra. 
Developer / System Designer,https://www.seek.com.au/job/36476287?type=standard,Paxus Australia Pty Ltd,ACT,4d ago,Government Agency seeking multiple Developer / System Designers for non-ongoing roles in Canberra. 
Developer / System Designer,https://www.seek.com.au/job/36471431?type=standout,Peoplebank Australia VIC,Melbourne,5d ago,Develop code to government standards PLUS great benefits! 
Developer,https://www.seek.com.au/job/36471213?type=standout,Hudson,ACT,5d ago,One of Hudson's key Government clients is looking to engage the services of an experienced Developer.
Developer / System Designer,https://www.seek.com.au/job/36466929?type=standard,Greythorn,ACT,5d ago,"Our Large Federal Government client is seeking the services of an experienced ""Developer / System Designer"""
Java Developer,https://www.seek.com.au/job/36422663?type=standard,Data#3 People Solutions,Adelaide,12d ago,Currently seeking Java Developers for a large and interesting organisation in Adelaide. 6 months contract.
Developer - WebMethods,https://www.seek.com.au/job/36327408?type=standout,Seisma Consulting,Melbourne,22d ago,Multiple opportunities for experienced Developers to work on End to End Integration implementation projects.
