Title,URL,Advertiser,Location,Listing Date,Short Description
Graduate/Junior Software Developer,https://www.seek.com.au/jobs/job/36504120?type=standard,MANTECH INTERNATIONAL SYSTEMS RECRUITMENT,Sydney,6d ago,"Graduate/Junior Full-Stack Software Developer - 
(JavaScript/Angularjs) and Cross-Platform Transformation experience with XML/XSLT or JSON"
SAP PI/PO Lead Consultant - CONTRACT - $90hr + GST,https://www.seek.com.au/jobs/job/36494361?type=standout,Absolute IT - 98.9%* of placed candidates will recommend us to others,Sydney,7d ago,"SAP PI/PO, Integration, Orchestration, Netweaver Development Studio, ABAP, HANA, Cloud, ESR, SLD, Java, XSLT, Auckland, Contract, $90 + GST"
SAP PI/PO Lead Consultant - CONTRACT - $640 day + GST,https://www.seek.com.au/jobs/job/36492045?type=standout,Absolute IT - 98.9%* of placed candidates will recommend us to others,Melbourne,7d ago,"SAP PI/PO, Integration, Orchestration, Netweaver Development Studio, ABAP, HANA, Cloud, ESR, SLD, Java, XSLT, Auckland, Contract, $640 day + GST"
Junior / Graduate Developer,https://www.seek.com.au/jobs/job/36483497?type=standout,SPS Commerce,Melbourne,10d ago,"Great opportunity for a motivated candidate in XML, XSLT, CSS Javascript and C#, working cross functionally with other teams"
Integration Developer,https://www.seek.com.au/jobs/job/36480827?type=standard,MANTECH INTERNATIONAL SYSTEMS RECRUITMENT,Sydney,10d ago,A unique language agnostic Integration Developer experienced with platform integrations and working with XML/XSLT and SOAP Services
"Murex Front Office Consultant, ( 2.11, 3.1 ) FX Settlements, MxML, XML, XSLT",https://www.seek.com.au/jobs/job/36373062?type=standard,Xpand Group Pty Ltd,Sydney,24d ago,"Murex Front Office Consultant, ( 2.11, 3.1 ) FX Settlements, MxML, XML, XSLT"
SAP PI/PO Lead Consultant - CONTRACT - $640 day + GST,https://www.seek.com.au/jobs/job/36460238?type=standout,Absolute IT - 98.9%* of placed candidates will recommend us to others,Sydney,12d ago,"SAP PI/PO, Integration, Orchestration, Netweaver Development Studio, ABAP, HANA, Cloud, ESR, SLD, Java, XSLT, Auckland, Contract, $640 day + GST"
MULTIPLE ROLES - URGENT- TECHNICAL ANALYSTS,https://www.seek.com.au/jobs/job/36535133?type=standard,Tardis Group,Sydney,3d ago,One of our fastest growing clients are looking for talented Technical Analysts to join in on developing finance applications.
Senior Java Developer,https://www.seek.com.au/jobs/job/36533322?type=standard,Finite IT Recruitment Solutions,Melbourne,3d ago,"Senior Java DeveloperMust have a strong Secruirty vulnerabilities and secure coding background. Leading international financial services company "
Multiple Java/JEE Developer Roles,https://www.seek.com.au/jobs/job/36530701?type=standout,Digitaz Pty Ltd,ACT,3d ago,Excellent Rates!! Seeking a Java/JEE Developer for a High Profile Federal GOVT dept - Contract until June 2019 + 2 year extensions option
